Plot,Stand
YC21:1001,19
YC21:1002,23
YC21:1003,20
YC21:1004,27
YC21:1005,11
YC21:1006,24
YC21:1007,25
YC21:1008,26
YC21:1009,18
YC21:1010,28
YC21:1011,22
YC21:1012,23
YC21:1013,25
YC21:1014,25
YC21:1015,17
YC21:1016,16
YC21:1017,21
YC21:1018,26
YC21:1019,18
YC21:1020,16
YC21:1021,25
YC21:1022,23
YC21:1023,10
YC21:1024,20
YC21:1025,23
YC21:1026,26
YC21:1027,21
YC21:1028,23
YC21:1029,25
YC21:1030,26
YC21:1031,16
YC21:1032,29
YC21:1033,24
YC21:1034,22
YC21:1035,26
YC21:1036,25
YC21:1037,23
YC21:1038,22
YC21:1039,16
YC21:1040,22
YC21:1041,22
YC21:1042,22
YC21:1043,24
YC21:1044,26
YC21:1045,26
YC21:1046,17
YC21:1047,25
YC21:1048,15
YC21:1049,22
YC21:1050,27
YC21:1051,24
YC21:1052,24
YC21:1053,12
YC21:1054,20
YC21:1055,12
YC21:1056,16
YC21:1057,24
YC21:1058,21
YC21:1059,26
YC21:1060,26
YC21:1061,17
YC21:1062,24
YC21:1063,23
YC21:1064,14
YC21:1065,21
YC21:1066,21
YC21:1067,0
YC21:1068,26
YC21:1069,18
YC21:1070,17
YC21:1071,25
YC21:1072,26
YC21:1073,8
YC21:1074,16
YC21:1075,11
YC21:1076,14
YC21:1077,23
YC21:1078,19
YC21:1079,25
YC21:1080,22
YC21:1081,14
YC21:1082,23
YC21:1083,18
YC21:1084,24
YC21:1085,23
YC21:1086,22
YC21:1087,21
YC21:1088,19
YC21:1089,20
YC21:1090,17
YC21:1091,21
YC21:1092,24
YC21:1093,12
YC21:1094,30
YC21:1095,24
YC21:1096,24
YC21:1097,23
YC21:1098,23
YC21:1099,24
YC21:1100,21
YC21:1101,22
YC21:1102,27
YC21:1103,23
YC21:1104,24
YC21:1105,17
YC21:1106,25
YC21:1107,21
YC21:1108,18
YC21:1109,19
YC21:1110,23
YC21:1111,12
YC21:1112,28
YC21:1113,24
YC21:1114,21
YC21:1115,24
YC21:1116,18
YC21:1117,23
YC21:1118,23
YC21:1119,23
YC21:1120,16
YC21:1121,16
YC21:1122,22
YC21:1123,25
