"Plot","300","428.5","491","583","722","769.5","811","1115","1230.5","1418","1650.5","Stand"
"YC19:1001",0.024108,0.079832,0.11199,0.11201,0.23388,0.34051,0.33096,0.63926,0.55532,0.73175,0.72315,24
"YC19:1002",0.027358,0.070281,0.094866,0.097593,0.18858,0.29851,0.24482,0.59176,0.56978,0.67017,0.69685,24
"YC19:1003",0.028311,0.057837,0.068337,0.0803,0.1621,0.29644,0.18769,0.59208,0.54294,0.6904,0.64321,23
"YC19:1004",0.010208,0.025881,0.037771,0.053042,0.1263,0.21626,0.14543,0.5046,0.47502,0.66765,0.64727,20
"YC19:1005",0.026306,0.058077,0.076951,0.10673,0.20031,0.30581,0.26569,0.61161,0.59947,0.70216,0.6461,22
"YC19:1006",0.031572,0.071058,0.089537,0.11062,0.19516,0.31054,0.26916,0.63091,0.65773,0.67895,0.67183,23
"YC19:1007",0.031196,0.069735,0.10309,0.14238,0.23355,0.35801,0.29802,0.65905,0.61372,0.71409,0.69536,24
"YC19:1008",0.015112,0.059531,0.079284,0.093034,0.16086,0.26621,0.20306,0.48,0.46413,0.5567,0.66391,18
"YC19:1009",0.034683,0.085278,0.12985,0.14127,0.20944,0.33865,0.28104,0.63698,0.6172,0.7526,0.61172,24
"YC19:1010",0.014698,0.044158,0.065418,0.05455,0.098042,0.16204,0.12069,0.48416,0.52101,0.68144,0.65971,16
"YC19:1011",0.013779,0.036063,0.05358,0.060994,0.11338,0.20035,0.17045,0.50894,0.54842,0.67545,0.62942,22
"YC19:1012",0.0098151,0.038129,0.05264,0.054259,0.11814,0.19627,0.15554,0.44678,0.42709,0.5985,0.54976,18
"YC19:1013",0.022282,0.052086,0.075417,0.074943,0.14282,0.24064,0.19361,0.56321,0.56598,0.67666,0.66746,25
"YC19:1014",0.049691,0.075035,0.10015,0.11626,0.23832,0.35039,0.34964,0.58604,0.53485,0.67209,0.63954,24
"YC19:1015",0.023245,0.061867,0.097797,0.11126,0.21695,0.32218,0.28519,0.5658,0.44967,0.5949,0.55724,24
"YC19:1016",0.017926,0.083914,0.11278,0.1112,0.24045,0.34946,0.29948,0.61772,0.56721,0.65612,0.69231,23
"YC19:1017",0.036394,0.11594,0.15852,0.16099,0.28531,0.42257,0.35722,0.67138,0.59652,0.66183,0.69611,25
"YC19:1018",0.024947,0.088763,0.13098,0.14574,0.26861,0.38504,0.35918,0.61429,0.57743,0.67221,0.6972,26
"YC19:1019",0.025119,0.074321,0.10233,0.14,0.19986,0.29566,0.26124,0.58822,0.54586,0.69263,0.63781,24
"YC19:1020",0.027691,0.06709,0.079823,0.078148,0.12793,0.22579,0.18039,0.46807,0.46983,0.59681,0.71881,22
"YC19:1021",0.0090068,0.024124,0.035909,0.043995,0.064441,0.12898,0.10101,0.39748,0.40275,0.5789,0.57409,17
"YC19:1022",0.038082,0.10939,0.13563,0.1487,0.21991,0.36199,0.30332,0.67454,0.6148,0.77838,0.75406,25
"YC19:1023",0.013997,0.04918,0.076571,0.068902,0.15078,0.26904,0.22438,0.58342,0.52589,0.69164,0.71031,20
"YC19:1024",0.031876,0.072195,0.098089,0.1122,0.23937,0.34319,0.32299,0.5539,0.52064,0.60486,0.64439,21
"YC19:1025",0.043166,0.086263,0.10267,0.10985,0.17242,0.28661,0.20575,0.57134,0.57337,0.6211,0.56352,25
"YC19:1026",0.02686,0.057031,0.07272,0.085832,0.14434,0.24198,0.19933,0.6055,0.59804,0.69519,0.68965,24
"YC19:1027",0.052576,0.10257,0.13732,0.18186,0.25305,0.38041,0.33854,0.67286,0.68743,0.74104,0.76475,24
"YC19:1028",0.023078,0.064866,0.09588,0.11361,0.18206,0.28381,0.2316,0.63056,0.4741,0.59922,0.59913,21
"YC19:1029",0.031196,0.0708,0.10092,0.10977,0.17689,0.27773,0.25758,0.58972,0.52066,0.62247,0.63825,22
"YC19:1030",0.021481,0.040485,0.053023,0.061111,0.11918,0.20003,0.17038,0.36486,0.4069,0.47863,0.56248,21
"YC19:1031",0.040191,0.084511,0.10676,0.12919,0.23603,0.37746,0.37665,0.72028,0.63525,0.74979,0.57182,25
"YC19:1032",0.033435,0.074147,0.10379,0.093307,0.19082,0.35058,0.25643,0.58696,0.53978,0.66969,0.71647,22
"YC19:1033",0.043857,0.09698,0.12206,0.14073,0.23621,0.37186,0.32875,0.63342,0.5374,0.6696,0.62038,20
"YC19:1034",0.04793,0.097,0.12996,0.13321,0.2404,0.35588,0.31662,0.69473,0.57876,0.7092,0.67879,24
"YC19:1035",0.054908,0.11066,0.14813,0.14598,0.28823,0.39312,0.35333,0.54308,0.50779,0.62866,0.64216,21
"YC19:1038",0.046565,0.090047,0.10827,0.11265,0.21989,0.33388,0.3061,0.58585,0.55168,0.68828,0.67812,27
"YC19:1039",0.019762,0.043717,0.050194,0.042555,0.11461,0.19424,0.16939,0.52021,0.55106,0.66369,0.71455,21
"YC19:1040",0.050515,0.10339,0.10987,0.090847,0.20265,0.3227,0.27951,0.52506,0.53582,0.62968,0.62528,25
"YC19:1041",0.030661,0.074223,0.09473,0.0739,0.16081,0.26028,0.22172,0.58942,0.51632,0.69575,0.64731,24
"YC19:1042",0.013997,0.053397,0.052073,0.043466,0.12108,0.19584,0.15138,0.49709,0.43514,0.60525,0.69,16
"YC19:1043",0.04889,0.12831,0.15523,0.13749,0.27589,0.39758,0.36771,0.6377,0.64706,0.72306,0.73452,24
"YC19:1044",0.017894,0.057304,0.06678,0.031278,0.12377,0.20005,0.17294,0.50954,0.47467,0.62486,0.68013,18
"YC19:1045",0.076214,0.2255,0.2367,0.18644,0.31067,0.45846,0.3995,0.65319,0.61857,0.7123,0.69187,27
"YC19:1046",0.046902,0.12289,0.13331,0.13098,0.1944,0.28926,0.24259,0.63882,0.48307,0.62395,0.62599,21
"YC19:1047",0.049314,0.13241,0.14686,0.12495,0.25137,0.38647,0.3004,0.61415,0.61182,0.70843,0.7255,26
"YC19:1048",0.048999,0.097738,0.1069,0.11812,0.20386,0.29806,0.24364,0.59035,0.61872,0.74105,0.74187,26
"YC19:1049",0.027586,0.046819,0.05792,0.057333,0.12372,0.1968,0.17562,0.49658,0.53677,0.71509,0.70725,17
"YC19:1050",0.055976,0.11607,0.14875,0.15872,0.29532,0.40251,0.41895,0.59996,0.64232,0.78718,0.74161,23
"YC19:1051",0.02529,0.074051,0.089018,0.08022,0.1747,0.32185,0.28331,0.6958,0.61062,0.78834,0.755,21
"YC19:1052",0.059538,0.14407,0.17057,0.15503,0.32263,0.45802,0.398,0.74061,0.60062,0.78464,0.69409,28
"YC19:1053",0.021347,0.065787,0.096534,0.0801,0.18443,0.25328,0.22564,0.54862,0.49334,0.70603,0.64827,21
"YC19:1054",0.026293,0.040485,0.061063,0.054881,0.13776,0.1879,0.17227,0.58519,0.39096,0.6074,0.54531,17
