Plot,Stand
YC20:1355,10
YC20:1356,4
YC20:1357,20
YC20:1358,16
YC20:1359,8
YC20:1360,11
YC20:1361,10
YC20:1362,11
YC20:1363,12
YC20:1364,0
YC20:1365,18
YC20:1366,12
YC20:1367,13
YC20:1368,18
YC20:1369,18
YC20:1370,19
YC20:1371,8
YC20:1372,10
YC20:1373,12
YC20:1374,9
YC20:1375,18
YC20:1376,15
YC20:1377,12
YC20:1378,4
YC20:1379,16
YC20:1380,15
YC20:1381,1
YC20:1382,24
YC20:1383,20
YC20:1384,1
YC20:1385,15
YC20:1386,3
YC20:1387,17
YC20:1388,13
YC20:1389,22
YC20:1390,17
YC20:1391,18
YC20:1392,8
YC20:1393,9
YC20:1394,14
YC20:1395,22
YC20:1396,23
YC20:1397,25
YC20:1398,12
YC20:1399,17
YC20:1400,24
YC20:1401,21
YC20:1402,19
YC20:1403,18
YC20:1404,14
YC20:1405,7
YC20:1406,13
YC20:1407,19
YC20:1408,3
YC20:1409,16
YC20:1410,17
YC20:1411,4
YC20:1412,20
YC20:1413,25
YC20:1414,10
YC20:1415,2
YC20:1416,23
YC20:1417,7
YC20:1418,6
YC20:1419,25
YC20:1420,19
YC20:1421,12
YC20:1422,18
YC20:1423,12
YC20:1424,10
YC20:1425,11
YC20:1426,19
YC20:1427,23
YC20:1428,9
YC20:1429,20
YC20:1430,11
YC20:1431,23
YC20:1432,14
YC20:1433,0
YC20:1434,17
YC20:1435,6
YC20:1436,7
YC20:1437,21
YC20:1438,25
YC20:1439,16
YC20:1440,13
YC20:1441,19
YC20:1442,8
YC20:1443,23
YC20:1444,16
YC20:1445,9
YC20:1446,10
YC20:1447,9
YC20:1448,3
YC20:1449,25
YC20:1450,17
YC20:1451,1
YC20:1452,17
YC20:1453,0
YC20:1454,24
YC20:1455,15
YC20:1456,13
YC20:1457,14
YC20:1458,2
YC20:1459,13
YC20:1460,20
YC20:1461,3
YC20:1462,20
YC20:1463,12
YC20:1464,19
YC20:1465,25
YC20:1466,8
YC20:1467,23
YC20:1468,18
YC20:1469,20
YC20:1470,20
YC20:1471,10
YC20:1472,17
YC20:1473,8
YC20:1474,20
YC20:1475,14
YC20:1476,13
YC20:1477,23
YC20:1478,18
YC20:1479,11
YC20:1480,23
YC20:1481,10
YC20:1482,2
YC20:1483,13
YC20:1484,15
YC20:1485,0
YC20:1486,2
YC20:1487,22
YC20:1488,14
YC20:1489,13
YC20:1490,9
YC20:1491,21
YC20:1492,11
YC20:1493,20
YC20:1494,0
YC20:1495,15
YC20:1496,2
YC20:1497,13
YC20:1498,20
YC20:1499,21
YC20:1500,4
YC20:1501,18
YC20:1502,6
YC20:1503,13
YC20:1504,19
YC20:1505,17
YC20:1506,23
YC20:1507,10
YC20:1508,19
YC20:1509,17
YC20:1510,4
YC20:1511,13
YC20:1512,16
YC20:1513,20
YC20:1514,4
YC20:1515,19
YC20:1516,2
YC20:1517,10
YC20:1518,17
YC20:1519,2
YC20:1520,8
YC20:2001,24
YC20:2002,10
YC20:2003,20
YC20:2004,25
YC20:2005,21
YC20:2006,8
YC20:2007,23
YC20:2008,24
YC20:2009,13
YC20:2010,14
YC20:2011,15
YC20:2012,21
YC20:2013,16
YC20:2014,0
YC20:2015,15
YC20:2016,19
YC20:2017,21
