Plot,Weeds
YC20:1328,No
YC20:1329,No
YC20:1330,No
YC20:1331,No
YC20:1332,No
YC20:1333,No
YC20:1334,No
YC20:1335,No
YC20:1336,No
YC20:1337,No
YC20:1338,No
YC20:1339,No
YC20:1340,Yes
YC20:1341,Yes
YC20:1342,Yes
YC20:1343,No
YC20:1344,No
YC20:1345,No
YC20:1346,No
YC20:1347,Yes
YC20:1348,Yes
YC20:1349,Yes
YC20:1350,Yes
YC20:1351,No
YC20:1352,No
YC20:1353,No
YC20:1354,No
YC20:1355,No
YC20:1356,No
YC20:1357,No
YC20:1358,No
YC20:1359,No
YC20:1360,No
YC20:1361,No
YC20:1362,No
YC20:1363,No
YC20:1364,No
YC20:1365,Yes
YC20:1366,Yes
YC20:1367,No
YC20:1368,No
YC20:1369,No
YC20:1370,Yes
YC20:1371,Yes
YC20:1372,Yes
YC20:1373,Yes
YC20:1374,Yes
YC20:1375,Yes
YC20:1376,Yes
YC20:1377,Yes
YC20:1378,Yes
YC20:1379,Yes
YC20:1380,Yes
YC20:1381,Yes
YC20:1382,Yes
YC20:1383,Yes
YC20:1384,No
YC20:1385,Yes
YC20:1386,Yes
YC20:1387,Yes
YC20:1388,Yes
YC20:1389,Yes
YC20:1390,Yes
YC20:1391,Yes
YC20:1392,Yes
YC20:1393,Yes
YC20:1394,Yes
YC20:1395,Yes
YC20:1396,Yes
YC20:1397,Yes
YC20:1398,Yes
YC20:1399,Yes
YC20:1400,Yes
YC20:1401,Yes
YC20:1402,Yes
YC20:1403,Yes
YC20:1404,Yes
YC20:1405,No
YC20:1406,No
YC20:1407,Yes
YC20:1408,Yes
YC20:1409,No
YC20:1410,No
YC20:1411,No
YC20:1412,Yes
YC20:1413,Yes
YC20:1414,No
YC20:1415,No
YC20:1416,Yes
YC20:1417,Yes
YC20:1418,Yes
YC20:1419,Yes
YC20:1420,Yes
YC20:1421,Yes
YC20:1422,Yes
YC20:1423,Yes
YC20:1424,Yes
YC20:1425,Yes
YC20:1426,Yes
YC20:1427,Yes
YC20:1428,Yes
YC20:1429,Yes
YC20:1430,No
YC20:1431,No
YC20:1432,No
YC20:1433,No
YC20:1434,Yes
YC20:1435,Yes
YC20:1436,Yes
YC20:1437,Yes
YC20:1438,Yes
YC20:1439,Yes
YC20:1440,Yes
YC20:1441,Yes
YC20:1442,Yes
YC20:1443,Yes
YC20:1444,Yes
YC20:1445,Yes
YC20:1446,Yes
YC20:1447,Yes
YC20:1448,Yes
YC20:1449,Yes
YC20:1450,Yes
YC20:1451,Yes
YC20:1452,Yes
YC20:1453,Yes
YC20:1454,Yes
YC20:1455,Yes
YC20:1456,Yes
YC20:1457,Yes
YC20:1458,Yes
YC20:1459,Yes
YC20:1460,Yes
YC20:1461,Yes
YC20:1462,Yes
YC20:1463,Yes
YC20:1464,Yes
YC20:1465,Yes
YC20:1466,Yes
YC20:1467,Yes
YC20:1468,Yes
YC20:1469,Yes
YC20:1470,Yes
YC20:1471,Yes
YC20:1472,Yes
YC20:1473,Yes
YC20:1474,Yes
YC20:1475,Yes
YC20:1476,Yes
YC20:1477,Yes
YC20:1478,Yes
YC20:1479,Yes
YC20:1480,Yes
YC20:1481,Yes
YC20:1482,Yes
YC20:1483,Yes
YC20:1484,Yes
YC20:1485,Yes
YC20:1486,Yes
YC20:1487,Yes
YC20:1488,Yes
YC20:1489,Yes
YC20:1490,Yes
YC20:1491,Yes
YC20:1492,Yes
YC20:1493,Yes
YC20:1494,Yes
YC20:1495,Yes
YC20:1496,Yes
YC20:1497,Yes
YC20:1498,Yes
YC20:1499,Yes
YC20:1500,Yes
YC20:1501,No
YC20:1502,No
YC20:1503,No
YC20:1504,No
YC20:1505,No
YC20:1506,No
YC20:1507,Yes
YC20:1508,Yes
YC20:1509,Yes
YC20:1510,Yes
YC20:1511,Yes
YC20:1512,Yes
YC20:1513,Yes
YC20:1514,Yes
YC20:1515,Yes
YC20:1516,Yes
YC20:1517,Yes
YC20:1518,Yes
YC20:1519,Yes
YC20:1520,Yes
YC20:2001,Yes
YC20:2002,Yes
YC20:2003,Yes
YC20:2004,Yes
YC20:2005,Yes
YC20:2006,Yes
YC20:2007,Yes
YC20:2008,No
YC20:2009,No
YC20:2010,Yes
YC20:2011,Yes
YC20:2012,Yes
YC20:2013,Yes
YC20:2014,Yes
YC20:2015,Yes
YC20:2016,Yes
YC20:2017,No
YC20:2018,No
