"Plot","278","375.5","512.5","654.5","835","1027","1144.5","1340","1492.5","Weeds"
"YC20:1008",0.0013423,0.0038862,0.036993,0.05015,0.11782,0.38104,0.4761,0.25166,0.31412,"No"
"YC20:1009",0.026349,0.060741,0.1772,0.19976,0.4143,0.43484,0.71115,0.67349,0.71584,"No"
"YC20:1010",0.033017,0.068237,0.18071,0.25844,0.45995,0.44444,0.61489,0.6655,0.71472,"No"
"YC20:1011",0.00096293,0.0044121,0.03947,0.043418,0.26542,0.44688,0.42455,0.22914,0.28831,"No"
"YC20:1012",0.0032579,0.019857,0.1201,0.11005,0.41092,0.48449,0.62425,0.34296,0.3923,"No"
"YC20:1013",0.0048789,0.023638,0.095903,0.09335,0.32069,0.51042,0.51024,0.4542,0.49586,"No"
"YC20:1014",0.0038716,0.019738,0.097474,0.090339,0.34077,0.43048,0.55078,0.51045,0.58701,"No"
"YC20:1015",0.01477,0.033982,0.12587,0.15885,0.38265,0.44947,0.50114,0.61121,0.6468,"No"
"YC20:1016",0.023373,0.050787,0.17723,0.17909,0.4017,0.41601,0.58501,0.55321,0.55823,"No"
"YC20:1017",0.028567,0.067135,0.20898,0.13994,0.30676,0.32126,0.56054,0.62812,0.6597,"No"
"YC20:1018",0.006662,0.013992,0.10493,0.076311,0.24103,0.37033,0.42851,0.58688,0.62617,"No"
"YC20:1021",0.017479,0.042481,0.16675,0.17408,0.30968,0.38786,0.47887,0.6222,0.67373,"No"
"YC20:1022",0.0074116,0.018554,0.10901,0.12313,0.3271,0.44607,0.48833,0.63195,0.66981,"No"
"YC20:1023",0.015669,0.029355,0.12861,0.1731,0.40555,0.52044,0.5091,0.63856,0.68015,"No"
"YC20:1024",0.015165,0.024688,0.13607,0.16919,0.39723,0.53907,0.44634,0.63156,0.67336,"No"
"YC20:1025",0.025748,0.049991,0.1367,0.15486,0.32644,0.37943,0.25088,0.55639,0.58037,"No"
"YC20:1026",0.043945,0.08509,0.20648,0.22193,0.44625,0.48493,0.32664,0.60752,0.6632,"No"
"YC20:1027",0.026889,0.052363,0.20754,0.29343,0.61312,0.60169,0.45221,0.75245,0.76617,"No"
"YC20:1028",0.02829,0.055097,0.2576,0.22439,0.54648,0.58775,0.39119,0.61041,0.64058,"No"
"YC20:1029",0.0024106,0.0083016,0.080335,0.081402,0.40324,0.51077,0.24267,0.5056,0.58825,"No"
"YC20:1030",0.031952,0.063101,0.27046,0.30584,0.63441,0.64695,0.59003,0.67654,0.74017,"No"
"YC20:1031",0.0046768,0.013356,0.18259,0.2548,0.60485,0.54238,0.41872,0.54735,0.62787,"No"
"YC20:1032",0.0419,0.11257,0.49248,0.59917,0.82896,0.66997,0.56745,0.58511,0.6626,"No"
"YC20:1033",0.020759,0.043709,0.26274,0.3457,0.63204,0.49422,0.4813,0.67872,0.75361,"No"
"YC20:1034",0.033863,0.06027,0.35689,0.39805,0.73508,0.60547,0.67637,0.64356,0.66923,"No"
"YC20:1035",0.030081,0.073545,0.32275,0.38352,0.74892,0.70093,0.65531,0.75206,0.80297,"No"
