"GDD","Heritability"
"300",0.777694988602127
"350",0.839993518655909
"400",0.809999685591165
"450",0.685412243185493
"500",0.680798623102837
"550",0.653673263506255
"600",0.591774766199575
"650",0.6307877227775
"700",0.589578876391295
"750",0.494816279945384
"800",0.482818091079703
"850",0.44389953660025
"900",0.442247137149003
"950",0.500105858207697
"1000",0.591945373174921
"1050",0.655717775933038
"1100",0.731600241862801
"1150",0.748124842087265
"1200",0.756024106614824
"1250",0.732673720530521
"1300",0.770673398726261
"1350",0.751957041543897
"1400",0.709869792187553
"1450",0.668701892314043
"1500",0.571736553772953
"1550",0.573704174489539
"1600",0.591381646238521
"1650",0.611476555486826
"1",0.668581614223477
"2",0.50656554694617
"3",0.0492843397440354
"4",0.323571361877334
"5",0.129256896538062
"6",0.172672073399327
"7",0.149687275613825
"8",0.186856517512904
"9",0.0770279168344394
"10",0.255262198023622
"11",0.0565416087161395
"12",0.103329565654949
"13",0.174469186746201
"14",0.142387538514292
"15",0.151328687782746
"16",0.0369462377930824
"17",0.0672653744179992
"18",0.219291130395394
"19",0.0387833835265147
"20",0.0321542114504422
"21",0.0684749908356283
"22",0.101090155972043
"23",0.0476991640031035
"24",0.225493962002427
"25",0.446933524145957
"26",0.422712569955338
"27",0.3427776505138
