"Plot","na_count","258","413.5","619","765.5","874","1096","1190","1251","1421.5","1759.5"
"YC21:1001",0,0.030179,0.055935,0.27334,0.30523,0.52531,0.62753,0.61698,0.68475,0.62403,0.65568
"YC21:1002",1,0.03437,0.067651,0.32048,0.38744,0.59055,0.69409,0.6388,NA,0.70674,0.7179
"YC21:1003",2,0.007358,0.022849,0.19686,0.24411,0.4627,0.65078,0.59345,NA,NA,0.67953
"YC21:1004",2,0.025203,0.049608,0.35657,0.38642,0.59268,NA,NA,0.73779,0.68295,0.70639
"YC21:1006",1,0.028026,0.088016,0.31029,0.37537,0.56038,0.65956,0.60179,NA,0.63773,0.64288
"YC21:1007",0,0.030003,0.064808,0.31422,0.38747,0.51559,0.68166,0.62766,0.73836,0.61056,0.57505
"YC21:1008",1,0.029919,0.07038,0.31496,0.42099,0.50454,0.66356,0.68702,0.67776,NA,0.7314
"YC21:1009",1,0.013985,0.030455,0.16436,0.15878,0.30227,0.42506,0.4239,0.52229,NA,0.59034
"YC21:1010",0,0.07548,0.13584,0.37975,0.47464,0.60236,0.76209,0.70692,0.75819,0.68708,0.80313
"YC21:1011",0,0.02542,0.055473,0.25647,0.39953,0.59102,0.6702,0.68617,0.7132,0.62088,0.6588
"YC21:1012",2,0.055875,0.094045,0.40371,0.49906,0.63044,0.74485,0.68744,NA,0.69472,NA
"YC21:1013",0,0.028863,0.06679,0.26748,0.45064,0.58063,0.62922,0.61272,0.6474,0.58362,0.55774
"YC21:1014",0,0.025404,0.057155,0.26378,0.37637,0.49679,0.62961,0.60962,0.65172,0.63349,0.66598
"YC21:1015",0,0.021919,0.043465,0.23344,0.31432,0.43812,0.6183,0.6357,0.68486,0.63474,0.67972
"YC21:1016",0,0.011695,0.041906,0.19795,0.26739,0.38304,0.52406,0.51523,0.60716,0.60059,0.58803
"YC21:1017",0,0.025241,0.060198,0.25637,0.24377,0.45197,0.60809,0.57708,0.66387,0.57689,0.65923
"YC21:1018",0,0.038284,0.080808,0.33483,0.40465,0.57458,0.67607,0.69288,0.75762,0.6867,0.73065
"YC21:1019",0,0.012438,0.028311,0.20101,0.35902,0.47752,0.60942,0.60199,0.68623,0.65744,0.73265
"YC21:1020",2,0.001673,0.0077685,0.12563,0.18604,0.29184,0.47792,0.52368,NA,NA,0.63305
"YC21:1021",0,0.019345,0.061484,0.31483,0.40751,0.49491,0.62919,0.6817,0.69933,0.68413,0.71387
"YC21:1022",0,0.015202,0.052172,0.23313,0.34138,0.4696,0.57938,0.61368,0.65688,0.66725,0.69223
"YC21:1024",0,0.0052789,0.019995,0.18916,0.28537,0.49948,0.62787,0.64811,0.70065,0.64418,0.72115
"YC21:1025",0,0.034711,0.086665,0.32452,0.419,0.61848,0.75106,0.72864,0.80301,0.77239,0.78875
"YC21:1026",0,0.023237,0.064321,0.27161,0.37412,0.52991,0.64316,0.60173,0.63975,0.642,0.64859
"YC21:1027",0,0.0049303,0.015366,0.20763,0.26473,0.41272,0.56861,0.59081,0.68458,0.65498,0.64797
