hapmap_taxa	field_taxa
PHN82	PHN82
PHP02	PHP02
PHP38	PHP38
PHP55	PHP55
PHP76	PHP76
PHP85	PHP85
PHPR5	PHPR5
PHR03	PHR03
PHR31	PHR31
PHR36	PHR36
PHR58	PHR58
PHR62	PHR62
PHT10	PHT10
PHT11	PHT11
PHT22	PHT22
PHT47	PHT47
PHT55	PHT55
PHT69	PHT69
PHTM9	PHTM9
PHV37	PHV37
PHV57	PHV57
PHV63	PHV63
PHV78	PHV78
PHVA9	PHVA9
PHVJ4	PHVJ4
PHW03	PHW03
PHW17	PHW17
PHW20	PHW20
PHW30	PHW30
PHW43	PHW43
PHW52	PHW52
PHW53	PHW53
PHW65	PHW65
PHW79	PHW79
PHW80	PHW80
PHW86	PHW86
PHWG5	PHWG5
PHZ51	PHZ51
Pa392	Pa392
Pa405	Pa405
Pa762	Pa762
Pa880	Pa880
Pa91	Pa91
R113	R113
R168	R168
R177	R177
R181B	R181B
R226	R226
R227	R227
R229	R229
R71	R71
R78	R78
S8326	S8326
SD101	SD101
SD102	SD102
SD107	SD107
SD40	SD40
SD44	SD44
SG-30A	SG 30A
Seagull-Seventeen	Seagull Seventeen
T242	T242
TZU-CHIAO-HSI-WU-105	TZU-CHIAO-HSI-WU 105
Tr	Tr
Va102	Va102
Va17	Va17
Va26	Va26
Va35	Va35
Va52	Va52
Va59	Va59
Va99	Va99
VaW6	VaW6
W117Ht	W117Ht
W153R	W153R
W182E	W182E
W22	W22
W23	W23
W24	W24
W32	W32
W37A	W37A
W552	W552
W602S	W602S
W603S	W603S
W604S	W604S
W605S	W605S
W64A	W64A
W803G	W803G
W809G	W809G
W811G	W811G
W812G	W812G
W813G	W813G
W814G	W814G
W817G	W817G
W819G	W819G
W820G	W820G
W821G	W821G
W8304	W8304
W9	W9
WIL900	WIL900
WIL901	WIL901
WIL903	WIL903
WR3	WR3
WU-TAN-TZAO	WU-TAN-TZAO
WXB6	WXB6
Wf9	Wf9
YE-4	YE 4
YING-55	YING-55
YONG-28	YONG-28
Yu796-NS	Yu796 NS
ZS635	ZS635
