"Plot","430","585","946","1267","1356","1495","1662.5","1812","2031.5","Weeds","Stand","X"
"YC18:1084",0.072949,0.23576,0.70308,0.64641,0.74983,0.71488,0.67743,0.70491,0.68076,"No",23,NA
"YC18:1085",0.064939,0.19415,0.73692,0.70785,0.77111,0.76877,0.8027,0.82749,0.76168,"No",27,NA
"YC18:1086",0.07626,0.25001,0.78051,0.7042,0.74494,0.78915,0.73681,0.80335,0.70536,"No",26,NA
"YC18:1089",0.059908,0.16759,0.63528,0.5665,0.66212,0.60407,0.64191,0.69423,0.59319,"No",20,NA
"YC18:1090",0.073294,0.24498,0.77736,0.71475,0.77187,0.82058,0.79813,0.81757,0.83165,"No",24,NA
"YC18:1091",0.065813,0.15967,0.7679,0.69907,0.74685,0.76446,0.76952,0.78882,0.77101,"No",24,NA
"YC18:1092",0.046222,0.16519,0.6482,0.63987,0.70845,0.75407,0.72578,0.77303,0.72672,"No",22,NA
"YC18:1093",0.036651,0.12545,0.62765,0.65177,0.72537,0.76045,0.73343,0.77078,0.74397,"No",22,NA
"YC18:1094",0.062622,0.22429,0.71722,0.65964,0.7277,0.72206,0.78119,0.77277,0.74298,"No",25,NA
"YC18:1095",0.079891,0.23948,0.76308,0.72073,0.78935,0.80815,0.79796,0.85432,0.7992,"No",26,NA
"YC18:1096",0.071958,0.19421,0.66622,0.54683,0.59521,0.73457,0.70804,0.72063,0.69335,"No",17,NA
"YC18:1097",0.098591,0.21805,0.78574,0.67816,0.70333,0.74881,0.7512,0.81079,0.7409,"No",26,NA
"YC18:1098",0.089704,0.2381,0.80761,0.86364,0.81504,0.87448,0.91765,0.91533,0.88919,"No",27,NA
"YC18:1099",0.084326,0.27031,0.81651,0.84123,0.84136,0.86901,0.87453,0.87249,0.87203,"No",27,NA
"YC18:1100",0.037543,0.12441,0.68951,0.63611,0.76446,0.788,0.79219,0.821,0.783,"No",22,NA
