"Plot","na_count","430","585","946","1267","1356","1495","1662.5"
"YC18:1001",0,0.075231,0.23217,0.69827,0.68499,0.69409,0.74963,0.7914
"YC18:1002",0,0.032746,0.10997,0.60948,0.60179,0.68827,0.66444,0.72896
"YC18:1003",1,0.067246,0.2115,NA,0.64718,0.69913,0.72464,0.76905
"YC18:1004",2,0.070487,0.23141,NA,NA,0.75302,0.74766,0.81283
"YC18:1005",0,0.063538,0.21372,0.76159,0.71979,0.73192,0.79113,0.77767
"YC18:1006",0,0.060241,0.22979,0.73389,0.68902,0.80393,0.8138,0.81732
"YC18:1007",1,0.13933,0.30423,NA,0.72012,0.7715,0.78192,0.76565
"YC18:1008",1,0.19697,0.28012,NA,0.66136,0.74068,0.75927,0.77077
"YC18:1009",1,0.14267,0.20381,NA,0.58068,0.69761,0.70448,0.66783
"YC18:1010",1,0.11241,0.22534,NA,0.64984,0.66102,0.71488,0.74472
"YC18:1011",1,0.097803,0.24717,NA,0.69068,0.73526,0.72674,0.72962
"YC18:1012",1,0.10535,0.20713,NA,0.62032,0.67556,0.66164,0.65826
"YC18:1013",1,0.13308,0.29488,NA,0.65928,0.6428,0.69255,0.69808
"YC18:1014",1,0.20842,0.33431,NA,0.73969,0.81288,0.84302,0.80151
"YC18:1015",1,0.15707,0.29962,NA,0.72613,0.83315,0.82692,0.83179
"YC18:1016",0,0.15082,0.253,0.75675,0.77568,0.73557,0.75138,0.75273
"YC18:1025",1,0.11373,0.23123,NA,0.57817,0.67822,0.66858,0.7209
"YC18:1026",0,0.072369,0.16018,0.57072,0.63589,0.6514,0.66436,0.69591
"YC18:1027",0,0.066779,0.11033,0.50595,0.62266,0.69643,0.71269,0.7274
"YC18:1028",1,0.12552,0.26538,0.66252,0.66615,0.67617,0.71884,NA
"YC18:1030",2,0.050406,0.2025,NA,NA,0.77593,0.73909,0.71797
"YC18:1031",0,0.081444,0.23506,0.74024,0.73698,0.73323,0.80514,0.81952
"YC18:1032",0,0.098125,0.25112,0.63188,0.70686,0.74487,0.77563,0.8016
"YC18:1033",0,0.041449,0.1596,0.67415,0.64913,0.66694,0.76323,0.75442
"YC18:1034",0,0.05056,0.19786,0.66622,0.67976,0.77999,0.7434,0.79384
"YC18:1035",0,0.076713,0.19618,0.51758,0.62401,0.63521,0.67385,0.70043
"YC18:1036",0,0.071633,0.18721,0.55664,0.59139,0.61358,0.63361,0.61016
"YC18:1037",0,0.19729,0.27606,0.63822,0.67247,0.73273,0.71554,0.77045
"YC18:1038",0,0.063326,0.17702,0.69902,0.66088,0.69476,0.72758,0.8079
"YC18:1046",0,0.10507,0.25757,0.70065,0.67963,0.72691,0.72223,0.74682
"YC18:1047",0,0.045652,0.17022,0.60784,0.59651,0.57046,0.73218,0.70814
"YC18:1060",0,0.068166,0.16552,0.59054,0.66908,0.66665,0.70009,0.71926
"YC18:1061",1,0.054478,0.20558,NA,0.5817,0.60461,0.69261,0.68857
"YC18:1062",0,0.097425,0.2455,0.63255,0.67004,0.61904,0.6851,0.7494
"YC18:1063",0,0.03241,0.17848,0.58787,0.68547,0.77586,0.78446,0.72177
"YC18:1064",1,0.09541,0.22533,NA,0.59282,0.6014,0.60912,0.658
"YC18:1065",0,0.14475,0.22156,0.70172,0.65981,0.66287,0.71018,0.71229
"YC18:1066",0,0.13322,0.2353,0.71351,0.7036,0.74105,0.74027,0.73188
"YC18:1067",0,0.1096,0.23369,0.61957,0.65335,0.70383,0.74595,0.75856
"YC18:1068",0,0.063784,0.16132,0.61407,0.6985,0.7549,0.75362,0.73852
"YC18:1071",0,0.090921,0.21855,0.63869,0.605,0.64075,0.70021,0.68177
"YC18:1072",0,0.13994,0.167,0.57224,0.56466,0.72527,0.73519,0.6769
"YC18:1081",0,0.15502,0.20468,0.73049,0.71122,0.76497,0.7825,0.75953
"YC18:1082",0,0.068738,0.17073,0.76771,0.71966,0.77598,0.80618,0.81678
"YC18:1083",0,0.11209,0.18142,0.69425,0.65348,0.68668,0.75823,0.71196
"YC18:1084",0,0.072949,0.23576,0.70308,0.64641,0.74983,0.71488,0.67743
"YC18:1085",0,0.064939,0.19415,0.73692,0.70785,0.77111,0.76877,0.8027
"YC18:1086",1,0.07626,0.25001,NA,0.7042,0.74494,0.78915,0.73681
