Fields,BoundingBox,X,Y,left,top,right,bottom,id
15,"[-93.1733968362158,44.9939869649605;-93.1733218362159,44.9939939649605]","[-93.1733968362158,-93.1733218362159,-93.1733218362159,-93.1733968362158,-93.1733968362158,NaN]","[44.9939939649605,44.9939939649605,44.9939869649605,44.9939869649605,44.9939939649605,NaN]",-93.17339804,44.99400082,-93.17332304,44.99399382,15
16,"[-93.1733932676187,44.9939810162575;-93.1733182676187,44.9939880162575]","[-93.1733932676187,-93.1733182676187,-93.1733182676187,-93.1733932676187,-93.1733932676187,NaN]","[44.9939880162575,44.9939880162575,44.9939810162575,44.9939810162575,44.9939880162575,NaN]",-93.17339804,44.99399382,-93.17332304,44.99398682,16
17,"[-93.1734015966625,44.9939738569217;-93.1733265966625,44.9939808569217]","[-93.1734015966625,-93.1733265966625,-93.1733265966625,-93.1734015966625,-93.1734015966625,NaN]","[44.9939808569217,44.9939808569217,44.9939738569217,44.9939738569217,44.9939808569217,NaN]",-93.17339804,44.99398682,-93.17332304,44.99397982,17
18,"[-93.1734012666108,44.9939666635797;-93.1733262666108,44.9939736635797]","[-93.1734012666108,-93.1733262666108,-93.1733262666108,-93.1734012666108,-93.1734012666108,NaN]","[44.9939736635797,44.9939736635797,44.9939666635797,44.9939666635797,44.9939736635797,NaN]",-93.17339804,44.99397982,-93.17332304,44.99397282,18
19,"[-93.1733957141988,44.9939584691037;-93.1733207141988,44.9939654691037]","[-93.1733957141988,-93.1733207141988,-93.1733207141988,-93.1733957141988,-93.1733957141988,NaN]","[44.9939654691037,44.9939654691037,44.9939584691037,44.9939584691037,44.9939654691037,NaN]",-93.17339804,44.99397282,-93.17332304,44.99396582,19
20,"[-93.1733950557958,44.9939520385464;-93.1733200557958,44.9939590385464]","[-93.1733950557958,-93.1733200557958,-93.1733200557958,-93.1733950557958,-93.1733950557958,NaN]","[44.9939590385464,44.9939590385464,44.9939520385464,44.9939520385464,44.9939590385464,NaN]",-93.17339804,44.99396582,-93.17332304,44.99395882,20
21,"[-93.1734004573317,44.9939460288859;-93.1733254573317,44.9939530288859]","[-93.1734004573317,-93.1733254573317,-93.1733254573317,-93.1734004573317,-93.1734004573317,NaN]","[44.9939530288859,44.9939530288859,44.9939460288859,44.9939460288859,44.9939530288859,NaN]",-93.17339804,44.99395882,-93.17332304,44.99395182,21
22,"[-93.1734009571320,44.9939392433722;-93.1733259571320,44.9939462433722]","[-93.1734009571320,-93.1733259571320,-93.1733259571320,-93.1734009571320,-93.1734009571320,NaN]","[44.9939462433722,44.9939462433722,44.9939392433722,44.9939392433722,44.9939462433722,NaN]",-93.17339804,44.99395182,-93.17332304,44.99394482,22
23,"[-93.1733947009743,44.9939319548436;-93.1733197009743,44.9939389548436]","[-93.1733947009743,-93.1733197009743,-93.1733197009743,-93.1733947009743,-93.1733947009743,NaN]","[44.9939389548436,44.9939389548436,44.9939319548436,44.9939319548436,44.9939389548436,NaN]",-93.17339804,44.99394482,-93.17332304,44.99393782,23
24,"[-93.1733956490781,44.9939248159529;-93.1733206490781,44.9939318159529]","[-93.1733956490781,-93.1733206490781,-93.1733206490781,-93.1733956490781,-93.1733956490781,NaN]","[44.9939318159529,44.9939318159529,44.9939248159529,44.9939248159529,44.9939318159529,NaN]",-93.17339804,44.99393782,-93.17332304,44.99393082,24
25,"[-93.1734004701651,44.9939165663339;-93.1733254701651,44.9939235663339]","[-93.1734004701651,-93.1733254701651,-93.1733254701651,-93.1734004701651,-93.1734004701651,NaN]","[44.9939235663339,44.9939235663339,44.9939165663339,44.9939165663339,44.9939235663339,NaN]",-93.17339804,44.99393082,-93.17332304,44.99392382,25
26,"[-93.1734002892579,44.9939109117116;-93.1733252892579,44.9939179117116]","[-93.1734002892579,-93.1733252892579,-93.1733252892579,-93.1734002892579,-93.1734002892579,NaN]","[44.9939179117116,44.9939179117116,44.9939109117116,44.9939109117116,44.9939179117116,NaN]",-93.17339804,44.99392382,-93.17332304,44.99391682,26
27,"[-93.1733951988349,44.9939037612274;-93.1733201988349,44.9939107612274]","[-93.1733951988349,-93.1733201988349,-93.1733201988349,-93.1733951988349,-93.1733951988349,NaN]","[44.9939107612274,44.9939107612274,44.9939037612274,44.9939037612274,44.9939107612274,NaN]",-93.17339804,44.99391682,-93.17332304,44.99390982,27
28,"[-93.1733963592115,44.9938955964144;-93.1733213592115,44.9939025964144]","[-93.1733963592115,-93.1733213592115,-93.1733213592115,-93.1733963592115,-93.1733963592115,NaN]","[44.9939025964144,44.9939025964144,44.9938955964144,44.9938955964144,44.9939025964144,NaN]",-93.17339804,44.99390982,-93.17332304,44.99390282,28
29,"[-93.1733985283137,44.9938897020003;-93.1733235283137,44.9938967020003]","[-93.1733985283137,-93.1733235283137,-93.1733235283137,-93.1733985283137,-93.1733985283137,NaN]","[44.9938967020003,44.9938967020003,44.9938897020003,44.9938897020003,44.9938967020003,NaN]",-93.17339804,44.99390282,-93.17332304,44.99389582,29
30,"[-93.1733980304388,44.9938825101204;-93.1733230304388,44.9938895101204]","[-93.1733980304388,-93.1733230304388,-93.1733230304388,-93.1733980304388,-93.1733980304388,NaN]","[44.9938895101204,44.9938895101204,44.9938825101204,44.9938825101204,44.9938895101204,NaN]",-93.17339804,44.99389582,-93.17332304,44.99388882,30
31,"[-93.1733950571503,44.9938741682892;-93.1733200571503,44.9938811682892]","[-93.1733950571503,-93.1733200571503,-93.1733200571503,-93.1733950571503,-93.1733950571503,NaN]","[44.9938811682892,44.9938811682892,44.9938741682892,44.9938741682892,44.9938811682892,NaN]",-93.17339804,44.99388882,-93.17332304,44.99388182,31
32,"[-93.1733953023134,44.9938679450900;-93.1733203023134,44.9938749450900]","[-93.1733953023134,-93.1733203023134,-93.1733203023134,-93.1733953023134,-93.1733953023134,NaN]","[44.9938749450900,44.9938749450900,44.9938679450900,44.9938679450900,44.9938749450900,NaN]",-93.17339804,44.99388182,-93.17332304,44.99387482,32
33,"[-93.1734025640316,44.9938601706673;-93.1733275640316,44.9938671706673]","[-93.1734025640316,-93.1733275640316,-93.1733275640316,-93.1734025640316,-93.1734025640316,NaN]","[44.9938671706673,44.9938671706673,44.9938601706673,44.9938601706673,44.9938671706673,NaN]",-93.17339804,44.99387482,-93.17332304,44.99386782,33
34,"[-93.1734025132137,44.9938531824939;-93.1733275132137,44.9938601824939]","[-93.1734025132137,-93.1733275132137,-93.1733275132137,-93.1734025132137,-93.1734025132137,NaN]","[44.9938601824939,44.9938601824939,44.9938531824939,44.9938531824939,44.9938601824939,NaN]",-93.17339804,44.99386782,-93.17332304,44.99386082,34
35,"[-93.1733948257520,44.9938473678785;-93.1733198257521,44.9938543678785]","[-93.1733948257520,-93.1733198257521,-93.1733198257521,-93.1733948257520,-93.1733948257520,NaN]","[44.9938543678785,44.9938543678785,44.9938473678785,44.9938473678785,44.9938543678785,NaN]",-93.17339804,44.99386082,-93.17332304,44.99385382,35
36,"[-93.1733949142134,44.9938401519764;-93.1733199142134,44.9938471519764]","[-93.1733949142134,-93.1733199142134,-93.1733199142134,-93.1733949142134,-93.1733949142134,NaN]","[44.9938471519764,44.9938471519764,44.9938401519764,44.9938401519764,44.9938471519764,NaN]",-93.17339804,44.99385382,-93.17332304,44.99384682,36
37,"[-93.1734011432157,44.9938339165621;-93.1733261432158,44.9938409165621]","[-93.1734011432157,-93.1733261432158,-93.1733261432158,-93.1734011432157,-93.1734011432157,NaN]","[44.9938409165621,44.9938409165621,44.9938339165621,44.9938339165621,44.9938409165621,NaN]",-93.17339804,44.99384682,-93.17332304,44.99383982,37
38,"[-93.1733999139209,44.9938272256592;-93.1733249139209,44.9938342256592]","[-93.1733999139209,-93.1733249139209,-93.1733249139209,-93.1733999139209,-93.1733999139209,NaN]","[44.9938342256592,44.9938342256592,44.9938272256592,44.9938272256592,44.9938342256592,NaN]",-93.17339804,44.99383982,-93.17332304,44.99383282,38
39,"[-93.1733971129636,44.9938199368349;-93.1733221129637,44.9938269368349]","[-93.1733971129636,-93.1733221129637,-93.1733221129637,-93.1733971129636,-93.1733971129636,NaN]","[44.9938269368349,44.9938269368349,44.9938199368349,44.9938199368349,44.9938269368349,NaN]",-93.17339804,44.99383282,-93.17332304,44.99382582,39
40,"[-93.1733948445785,44.9938127819257;-93.1733198445785,44.9938197819257]","[-93.1733948445785,-93.1733198445785,-93.1733198445785,-93.1733948445785,-93.1733948445785,NaN]","[44.9938197819257,44.9938197819257,44.9938127819257,44.9938127819257,44.9938197819257,NaN]",-93.17339804,44.99382582,-93.17332304,44.99381882,40
41,"[-93.1734032407360,44.9938056407586;-93.1733282407360,44.9938126407586]","[-93.1734032407360,-93.1733282407360,-93.1733282407360,-93.1734032407360,-93.1734032407360,NaN]","[44.9938126407586,44.9938126407586,44.9938056407586,44.9938056407586,44.9938126407586,NaN]",-93.17339804,44.99381882,-93.17332304,44.99381182,41
42,"[-93.1733975389161,44.9937992667029;-93.1733225389161,44.9938062667029]","[-93.1733975389161,-93.1733225389161,-93.1733225389161,-93.1733975389161,-93.1733975389161,NaN]","[44.9938062667029,44.9938062667029,44.9937992667029,44.9937992667029,44.9938062667029,NaN]",-93.17339804,44.99381182,-93.17332304,44.99380482,42
43,"[-93.1733954055996,44.9937917521550;-93.1733204055996,44.9937987521549]","[-93.1733954055996,-93.1733204055996,-93.1733204055996,-93.1733954055996,-93.1733954055996,NaN]","[44.9937987521549,44.9937987521549,44.9937917521550,44.9937917521550,44.9937987521549,NaN]",-93.17339804,44.99380482,-93.17332304,44.99379782,43
44,"[-93.1733935663530,44.9937849840936;-93.1733185663530,44.9937919840936]","[-93.1733935663530,-93.1733185663530,-93.1733185663530,-93.1733935663530,-93.1733935663530,NaN]","[44.9937919840936,44.9937919840936,44.9937849840936,44.9937849840936,44.9937919840936,NaN]",-93.17339804,44.99379782,-93.17332304,44.99379082,44
45,"[-93.1734016033672,44.9937773373234;-93.1733266033672,44.9937843373234]","[-93.1734016033672,-93.1733266033672,-93.1733266033672,-93.1734016033672,-93.1734016033672,NaN]","[44.9937843373234,44.9937843373234,44.9937773373234,44.9937773373234,44.9937843373234,NaN]",-93.17339804,44.99379082,-93.17332304,44.99378382,45
46,"[-93.1734008188037,44.9937705158604;-93.1733258188038,44.9937775158604]","[-93.1734008188037,-93.1733258188038,-93.1733258188038,-93.1734008188037,-93.1734008188037,NaN]","[44.9937775158604,44.9937775158604,44.9937705158604,44.9937705158604,44.9937775158604,NaN]",-93.17339804,44.99378382,-93.17332304,44.99377682,46
47,"[-93.1733987449029,44.9937635667886;-93.1733237449029,44.9937705667886]","[-93.1733987449029,-93.1733237449029,-93.1733237449029,-93.1733987449029,-93.1733987449029,NaN]","[44.9937705667886,44.9937705667886,44.9937635667886,44.9937635667886,44.9937705667886,NaN]",-93.17339804,44.99377682,-93.17332304,44.99376982,47
48,"[-93.1733974086139,44.9937566698503;-93.1733224086139,44.9937636698503]","[-93.1733974086139,-93.1733224086139,-93.1733224086139,-93.1733974086139,-93.1733974086139,NaN]","[44.9937636698503,44.9937636698503,44.9937566698503,44.9937566698503,44.9937636698503,NaN]",-93.17339804,44.99376982,-93.17332304,44.99376282,48
49,"[-93.1733317097363,44.9940861175793;-93.1732567097363,44.9940931175793]","[-93.1733317097363,-93.1732567097363,-93.1732567097363,-93.1733317097363,-93.1733317097363,NaN]","[44.9940931175793,44.9940931175793,44.9940861175793,44.9940861175793,44.9940931175793,NaN]",-93.17332304,44.99409882,-93.17324804,44.99409182,50
50,"[-93.1733287188539,44.9940790052578;-93.1732537188539,44.9940860052578]","[-93.1733287188539,-93.1732537188539,-93.1732537188539,-93.1733287188539,-93.1733287188539,NaN]","[44.9940860052578,44.9940860052578,44.9940790052578,44.9940790052578,44.9940860052578,NaN]",-93.17332304,44.99409182,-93.17324804,44.99408482,51
51,"[-93.1733216440316,44.9940718641731;-93.1732466440316,44.9940788641731]","[-93.1733216440316,-93.1732466440316,-93.1732466440316,-93.1733216440316,-93.1733216440316,NaN]","[44.9940788641731,44.9940788641731,44.9940718641731,44.9940718641731,44.9940788641731,NaN]",-93.17332304,44.99408482,-93.17324804,44.99407782,52
52,"[-93.1733204285495,44.9940646228018;-93.1732454285495,44.9940716228018]","[-93.1733204285495,-93.1732454285495,-93.1732454285495,-93.1733204285495,-93.1733204285495,NaN]","[44.9940716228018,44.9940716228018,44.9940646228018,44.9940646228018,44.9940716228018,NaN]",-93.17332304,44.99407782,-93.17324804,44.99407082,53
53,"[-93.1733266715810,44.9940572231952;-93.1732516715810,44.9940642231952]","[-93.1733266715810,-93.1732516715810,-93.1732516715810,-93.1733266715810,-93.1733266715810,NaN]","[44.9940642231952,44.9940642231952,44.9940572231952,44.9940572231952,44.9940642231952,NaN]",-93.17332304,44.99407082,-93.17324804,44.99406382,54
54,"[-93.1733260521353,44.9940501530815;-93.1732510521353,44.9940571530815]","[-93.1733260521353,-93.1732510521353,-93.1732510521353,-93.1733260521353,-93.1733260521353,NaN]","[44.9940571530815,44.9940571530815,44.9940501530815,44.9940501530815,44.9940571530815,NaN]",-93.17332304,44.99406382,-93.17324804,44.99405682,55
55,"[-93.1733217477722,44.9940430075933;-93.1732467477722,44.9940500075933]","[-93.1733217477722,-93.1732467477722,-93.1732467477722,-93.1733217477722,-93.1733217477722,NaN]","[44.9940500075933,44.9940500075933,44.9940430075933,44.9940430075933,44.9940500075933,NaN]",-93.17332304,44.99405682,-93.17324804,44.99404982,56
56,"[-93.1733201151293,44.9940359252400;-93.1732451151293,44.9940429252400]","[-93.1733201151293,-93.1732451151293,-93.1732451151293,-93.1733201151293,-93.1733201151293,NaN]","[44.9940429252400,44.9940429252400,44.9940359252400,44.9940359252400,44.9940429252400,NaN]",-93.17332304,44.99404982,-93.17324804,44.99404282,57
57,"[-93.1733256254223,44.9940288763112;-93.1732506254223,44.9940358763112]","[-93.1733256254223,-93.1732506254223,-93.1732506254223,-93.1733256254223,-93.1733256254223,NaN]","[44.9940358763112,44.9940358763112,44.9940288763112,44.9940288763112,44.9940358763112,NaN]",-93.17332304,44.99404282,-93.17324804,44.99403582,58
58,"[-93.1733243747925,44.9940216508995;-93.1732493747926,44.9940286508994]","[-93.1733243747925,-93.1732493747926,-93.1732493747926,-93.1733243747925,-93.1733243747925,NaN]","[44.9940286508994,44.9940286508994,44.9940216508995,44.9940216508995,44.9940286508994,NaN]",-93.17332304,44.99403582,-93.17324804,44.99402882,59
59,"[-93.1733192802521,44.9940145328418;-93.1732442802521,44.9940215328418]","[-93.1733192802521,-93.1732442802521,-93.1732442802521,-93.1733192802521,-93.1733192802521,NaN]","[44.9940215328418,44.9940215328418,44.9940145328418,44.9940145328418,44.9940215328418,NaN]",-93.17332304,44.99402882,-93.17324804,44.99402182,60
60,"[-93.1733190392267,44.9940077947351;-93.1732440392267,44.9940147947351]","[-93.1733190392267,-93.1732440392267,-93.1732440392267,-93.1733190392267,-93.1733190392267,NaN]","[44.9940147947351,44.9940147947351,44.9940077947351,44.9940077947351,44.9940147947351,NaN]",-93.17332304,44.99402182,-93.17324804,44.99401482,61
61,"[-93.1733264263337,44.9940006004983;-93.1732514263337,44.9940076004983]","[-93.1733264263337,-93.1732514263337,-93.1732514263337,-93.1733264263337,-93.1733264263337,NaN]","[44.9940076004983,44.9940076004983,44.9940006004983,44.9940006004983,44.9940076004983,NaN]",-93.17332304,44.99401482,-93.17324804,44.99400782,62
62,"[-93.1733248099903,44.9939936947164;-93.1732498099903,44.9940006947164]","[-93.1733248099903,-93.1732498099903,-93.1732498099903,-93.1733248099903,-93.1733248099903,NaN]","[44.9940006947164,44.9940006947164,44.9939936947164,44.9939936947164,44.9940006947164,NaN]",-93.17332304,44.99400782,-93.17324804,44.99400082,63
63,"[-93.1733218500090,44.9939866245806;-93.1732468500090,44.9939936245806]","[-93.1733218500090,-93.1732468500090,-93.1732468500090,-93.1733218500090,-93.1733218500090,NaN]","[44.9939936245806,44.9939936245806,44.9939866245806,44.9939866245806,44.9939936245806,NaN]",-93.17332304,44.99400082,-93.17324804,44.99399382,64
64,"[-93.1733200359736,44.9939794017536;-93.1732450359736,44.9939864017536]","[-93.1733200359736,-93.1732450359736,-93.1732450359736,-93.1733200359736,-93.1733200359736,NaN]","[44.9939864017536,44.9939864017536,44.9939794017536,44.9939794017536,44.9939864017536,NaN]",-93.17332304,44.99399382,-93.17324804,44.99398682,65
65,"[-93.1733243402814,44.9939730182581;-93.1732493402814,44.9939800182581]","[-93.1733243402814,-93.1732493402814,-93.1732493402814,-93.1733243402814,-93.1733243402814,NaN]","[44.9939800182581,44.9939800182581,44.9939730182581,44.9939730182581,44.9939800182581,NaN]",-93.17332304,44.99398682,-93.17324804,44.99397982,66
66,"[-93.1733241522649,44.9939660243654;-93.1732491522649,44.9939730243654]","[-93.1733241522649,-93.1732491522649,-93.1732491522649,-93.1733241522649,-93.1733241522649,NaN]","[44.9939730243654,44.9939730243654,44.9939660243654,44.9939660243654,44.9939730243654,NaN]",-93.17332304,44.99397982,-93.17324804,44.99397282,67
67,"[-93.1733199089670,44.9939590715315;-93.1732449089670,44.9939660715314]","[-93.1733199089670,-93.1732449089670,-93.1732449089670,-93.1733199089670,-93.1733199089670,NaN]","[44.9939660715314,44.9939660715314,44.9939590715315,44.9939590715315,44.9939660715314,NaN]",-93.17332304,44.99397282,-93.17324804,44.99396582,68
68,"[-93.1733197629771,44.9939522152443;-93.1732447629771,44.9939592152443]","[-93.1733197629771,-93.1732447629771,-93.1732447629771,-93.1733197629771,-93.1733197629771,NaN]","[44.9939592152443,44.9939592152443,44.9939522152443,44.9939522152443,44.9939592152443,NaN]",-93.17332304,44.99396582,-93.17324804,44.99395882,69
69,"[-93.1733249630698,44.9939450068268;-93.1732499630698,44.9939520068268]","[-93.1733249630698,-93.1732499630698,-93.1732499630698,-93.1733249630698,-93.1733249630698,NaN]","[44.9939520068268,44.9939520068268,44.9939450068268,44.9939450068268,44.9939520068268,NaN]",-93.17332304,44.99395882,-93.17324804,44.99395182,70
70,"[-93.1733247193723,44.9939377620260;-93.1732497193723,44.9939447620260]","[-93.1733247193723,-93.1732497193723,-93.1732497193723,-93.1733247193723,-93.1733247193723,NaN]","[44.9939447620260,44.9939447620260,44.9939377620260,44.9939377620260,44.9939447620260,NaN]",-93.17332304,44.99395182,-93.17324804,44.99394482,71
71,"[-93.1733208033203,44.9939304158852;-93.1732458033203,44.9939374158852]","[-93.1733208033203,-93.1732458033203,-93.1732458033203,-93.1733208033203,-93.1733208033203,NaN]","[44.9939374158852,44.9939374158852,44.9939304158852,44.9939304158852,44.9939374158852,NaN]",-93.17332304,44.99394482,-93.17324804,44.99393782,72
72,"[-93.1733202037940,44.9939233394643;-93.1732452037940,44.9939303394643]","[-93.1733202037940,-93.1732452037940,-93.1732452037940,-93.1733202037940,-93.1733202037940,NaN]","[44.9939303394643,44.9939303394643,44.9939233394643,44.9939233394643,44.9939303394643,NaN]",-93.17332304,44.99393782,-93.17324804,44.99393082,73
73,"[-93.1733240611704,44.9939164453114;-93.1732490611704,44.9939234453114]","[-93.1733240611704,-93.1732490611704,-93.1732490611704,-93.1733240611704,-93.1733240611704,NaN]","[44.9939234453114,44.9939234453114,44.9939164453114,44.9939164453114,44.9939234453114,NaN]",-93.17332304,44.99393082,-93.17324804,44.99392382,74
74,"[-93.1733250812447,44.9939086739655;-93.1732500812447,44.9939156739654]","[-93.1733250812447,-93.1732500812447,-93.1732500812447,-93.1733250812447,-93.1733250812447,NaN]","[44.9939156739654,44.9939156739654,44.9939086739655,44.9939086739655,44.9939156739654,NaN]",-93.17332304,44.99392382,-93.17324804,44.99391682,75
75,"[-93.1733184759881,44.9939013673589;-93.1732434759881,44.9939083673589]","[-93.1733184759881,-93.1732434759881,-93.1732434759881,-93.1733184759881,-93.1733184759881,NaN]","[44.9939083673589,44.9939083673589,44.9939013673589,44.9939013673589,44.9939083673589,NaN]",-93.17332304,44.99391682,-93.17324804,44.99390982,76
76,"[-93.1733170288179,44.9938963624832;-93.1732420288179,44.9939033624832]","[-93.1733170288179,-93.1732420288179,-93.1732420288179,-93.1733170288179,-93.1733170288179,NaN]","[44.9939033624832,44.9939033624832,44.9938963624832,44.9938963624832,44.9939033624832,NaN]",-93.17332304,44.99390982,-93.17324804,44.99390282,77
77,"[-93.1733240754245,44.9938892032162;-93.1732490754245,44.9938962032162]","[-93.1733240754245,-93.1732490754245,-93.1732490754245,-93.1733240754245,-93.1733240754245,NaN]","[44.9938962032162,44.9938962032162,44.9938892032162,44.9938892032162,44.9938962032162,NaN]",-93.17332304,44.99390282,-93.17324804,44.99389582,78
78,"[-93.1733260996154,44.9938819129663;-93.1732510996154,44.9938889129663]","[-93.1733260996154,-93.1732510996154,-93.1732510996154,-93.1733260996154,-93.1733260996154,NaN]","[44.9938889129663,44.9938889129663,44.9938819129663,44.9938819129663,44.9938889129663,NaN]",-93.17332304,44.99389582,-93.17324804,44.99388882,79
79,"[-93.1733175986214,44.9938745388756;-93.1732425986214,44.9938815388756]","[-93.1733175986214,-93.1732425986214,-93.1732425986214,-93.1733175986214,-93.1733175986214,NaN]","[44.9938815388756,44.9938815388756,44.9938745388756,44.9938745388756,44.9938815388756,NaN]",-93.17332304,44.99388882,-93.17324804,44.99388182,80
80,"[-93.1733173826985,44.9938671692726;-93.1732423826985,44.9938741692726]","[-93.1733173826985,-93.1732423826985,-93.1732423826985,-93.1733173826985,-93.1733173826985,NaN]","[44.9938741692726,44.9938741692726,44.9938671692726,44.9938671692726,44.9938741692726,NaN]",-93.17332304,44.99388182,-93.17324804,44.99387482,81
81,"[-93.1733262861822,44.9938600348110;-93.1732512861822,44.9938670348110]","[-93.1733262861822,-93.1732512861822,-93.1732512861822,-93.1733262861822,-93.1733262861822,NaN]","[44.9938670348110,44.9938670348110,44.9938600348110,44.9938600348110,44.9938670348110,NaN]",-93.17332304,44.99387482,-93.17324804,44.99386782,82
82,"[-93.1733264371296,44.9938532539183;-93.1732514371296,44.9938602539183]","[-93.1733264371296,-93.1732514371296,-93.1732514371296,-93.1733264371296,-93.1733264371296,NaN]","[44.9938602539183,44.9938602539183,44.9938532539183,44.9938532539183,44.9938602539183,NaN]",-93.17332304,44.99386782,-93.17324804,44.99386082,83
83,"[-93.1733199960077,44.9938463596404;-93.1732449960077,44.9938533596404]","[-93.1733199960077,-93.1732449960077,-93.1732449960077,-93.1733199960077,-93.1733199960077,NaN]","[44.9938533596404,44.9938533596404,44.9938463596404,44.9938463596404,44.9938533596404,NaN]",-93.17332304,44.99386082,-93.17324804,44.99385382,84
84,"[-93.1733207441100,44.9938396469536;-93.1732457441101,44.9938466469536]","[-93.1733207441100,-93.1732457441101,-93.1732457441101,-93.1733207441100,-93.1733207441100,NaN]","[44.9938466469536,44.9938466469536,44.9938396469536,44.9938396469536,44.9938466469536,NaN]",-93.17332304,44.99385382,-93.17324804,44.99384682,85
85,"[-93.1733267358182,44.9938327228849;-93.1732517358182,44.9938397228849]","[-93.1733267358182,-93.1732517358182,-93.1732517358182,-93.1733267358182,-93.1733267358182,NaN]","[44.9938397228849,44.9938397228849,44.9938327228849,44.9938327228849,44.9938397228849,NaN]",-93.17332304,44.99384682,-93.17324804,44.99383982,86
