Fields,BoundingBox,X,Y,left,top,right,bottom,id
1,"[-93.1734031154752,44.9940862246782;-93.1733281154752,44.9940932246781]","[-93.1734031154752,-93.1733281154752,-93.1733281154752,-93.1734031154752,-93.1734031154752,NaN]","[44.9940932246781,44.9940932246781,44.9940862246782,44.9940862246782,44.9940932246781,NaN]",-93.17339804,44.99409882,-93.17332304,44.99409182,1
2,"[-93.1734031187197,44.9940790620979;-93.1733281187197,44.9940860620979]","[-93.1734031187197,-93.1733281187197,-93.1733281187197,-93.1734031187197,-93.1734031187197,NaN]","[44.9940860620979,44.9940860620979,44.9940790620979,44.9940790620979,44.9940860620979,NaN]",-93.17339804,44.99409182,-93.17332304,44.99408482,2
3,"[-93.1733966187617,44.9940720418041;-93.1733216187617,44.9940790418041]","[-93.1733966187617,-93.1733216187617,-93.1733216187617,-93.1733966187617,-93.1733966187617,NaN]","[44.9940790418041,44.9940790418041,44.9940720418041,44.9940720418041,44.9940790418041,NaN]",-93.17339804,44.99408482,-93.17332304,44.99407782,3
4,"[-93.1733960032240,44.9940653450309;-93.1733210032240,44.9940723450309]","[-93.1733960032240,-93.1733210032240,-93.1733210032240,-93.1733960032240,-93.1733960032240,NaN]","[44.9940723450309,44.9940723450309,44.9940653450309,44.9940653450309,44.9940723450309,NaN]",-93.17339804,44.99407782,-93.17332304,44.99407082,4
5,"[-93.1734038613219,44.9940571975892;-93.1733288613219,44.9940641975892]","[-93.1734038613219,-93.1733288613219,-93.1733288613219,-93.1734038613219,-93.1734038613219,NaN]","[44.9940641975892,44.9940641975892,44.9940571975892,44.9940571975892,44.9940641975892,NaN]",-93.17339804,44.99407082,-93.17332304,44.99406382,5
6,"[-93.1734053315202,44.9940497052615;-93.1733303315202,44.9940567052615]","[-93.1734053315202,-93.1733303315202,-93.1733303315202,-93.1734053315202,-93.1734053315202,NaN]","[44.9940567052615,44.9940567052615,44.9940497052615,44.9940497052615,44.9940567052615,NaN]",-93.17339804,44.99406382,-93.17332304,44.99405682,6
7,"[-93.1733978535870,44.9940426218662;-93.1733228535870,44.9940496218662]","[-93.1733978535870,-93.1733228535870,-93.1733228535870,-93.1733978535870,-93.1733978535870,NaN]","[44.9940496218662,44.9940496218662,44.9940426218662,44.9940426218662,44.9940496218662,NaN]",-93.17339804,44.99405682,-93.17332304,44.99404982,7
8,"[-93.1733976628441,44.9940360033831;-93.1733226628441,44.9940430033831]","[-93.1733976628441,-93.1733226628441,-93.1733226628441,-93.1733976628441,-93.1733976628441,NaN]","[44.9940430033831,44.9940430033831,44.9940360033831,44.9940360033831,44.9940430033831,NaN]",-93.17339804,44.99404982,-93.17332304,44.99404282,8
9,"[-93.1734037369760,44.9940282773767;-93.1733287369760,44.9940352773767]","[-93.1734037369760,-93.1733287369760,-93.1733287369760,-93.1734037369760,-93.1734037369760,NaN]","[44.9940352773767,44.9940352773767,44.9940282773767,44.9940282773767,44.9940352773767,NaN]",-93.17339804,44.99404282,-93.17332304,44.99403582,9
10,"[-93.1734016323013,44.9940224070345;-93.1733266323013,44.9940294070345]","[-93.1734016323013,-93.1733266323013,-93.1733266323013,-93.1734016323013,-93.1734016323013,NaN]","[44.9940294070345,44.9940294070345,44.9940224070345,44.9940224070345,44.9940294070345,NaN]",-93.17339804,44.99403582,-93.17332304,44.99402882,10
11,"[-93.1733985934645,44.9940156213739;-93.1733235934645,44.9940226213739]","[-93.1733985934645,-93.1733235934645,-93.1733235934645,-93.1733985934645,-93.1733985934645,NaN]","[44.9940226213739,44.9940226213739,44.9940156213739,44.9940156213739,44.9940226213739,NaN]",-93.17339804,44.99402882,-93.17332304,44.99402182,11
12,"[-93.1733960019590,44.9940088108768;-93.1733210019590,44.9940158108768]","[-93.1733960019590,-93.1733210019590,-93.1733210019590,-93.1733960019590,-93.1733960019590,NaN]","[44.9940158108768,44.9940158108768,44.9940088108768,44.9940088108768,44.9940158108768,NaN]",-93.17339804,44.99402182,-93.17332304,44.99401482,12
13,"[-93.1733995208617,44.9940021426575;-93.1733245208617,44.9940091426575]","[-93.1733995208617,-93.1733245208617,-93.1733245208617,-93.1733995208617,-93.1733995208617,NaN]","[44.9940091426575,44.9940091426575,44.9940021426575,44.9940021426575,44.9940091426575,NaN]",-93.17339804,44.99401482,-93.17332304,44.99400782,13
14,"[-93.1734008923832,44.9939946920641;-93.1733258923832,44.9940016920641]","[-93.1734008923832,-93.1733258923832,-93.1733258923832,-93.1734008923832,-93.1734008923832,NaN]","[44.9940016920641,44.9940016920641,44.9939946920641,44.9939946920641,44.9940016920641,NaN]",-93.17339804,44.99400782,-93.17332304,44.99400082,14
