"Date","cum.GDD"
"05232018",130
"06052018",430
"06132018",585
"06282018",946
"07092018",1267
"07122018",1356
"07172018",1495
"07242018",1662.5
"07312018",1812
"08092018",2031.5
"08172018",2248.5
