"Date","cum.GDD"
"05132021",9
"06012021",258
"06072021",413.5
"06152021",619
"06232021",765.5
"06282021",874
"07082021",1096
"07132021",1190
"07162021",1251
"07232021",1421.5
"08062021",1759.5
