"Date","cum.GDD"
"06022019",50.5
"06062019",121.5
"06082019",172
"06132019",239
"06172019",302
"06252019",428.5
"06282019",491
"07022019",583
"07082019",722
"07102019",769.5
"07152019",890.5
"07172019",942
"07222019",1055
"07252019",1115
"07312019",1230.5
"08082019",1418
"08212019",1650.5
