Fields,BoundingBox,X,Y,left,top,right,bottom,id
12,"[-93.1754252103733,44.9929498878473;-93.1753502103733,44.9929558878473]","[-93.1754252103733,-93.1753502103733,-93.1753502103733,-93.1754252103733,-93.1754252103733,NaN]","[44.9929558878473,44.9929558878473,44.9929498878473,44.9929498878473,44.9929558878473,NaN]",12,-93.17552654,44.99298067,-93.17545154,44.99297467
13,"[-93.1754274969155,44.9929431683117;-93.1753524969155,44.9929491683117]","[-93.1754274969155,-93.1753524969155,-93.1753524969155,-93.1754274969155,-93.1754274969155,NaN]","[44.9929491683117,44.9929491683117,44.9929431683117,44.9929431683117,44.9929491683117,NaN]",13,-93.17552654,44.99297467,-93.17545154,44.99296867
14,"[-93.1754251077794,44.9929357384879;-93.1753501077794,44.9929417384879]","[-93.1754251077794,-93.1753501077794,-93.1753501077794,-93.1754251077794,-93.1754251077794,NaN]","[44.9929417384879,44.9929417384879,44.9929357384879,44.9929357384879,44.9929417384879,NaN]",14,-93.17552654,44.99296867,-93.17545154,44.99296267
15,"[-93.1754247889557,44.9929289440891;-93.1753497889557,44.9929349440891]","[-93.1754247889557,-93.1753497889557,-93.1753497889557,-93.1754247889557,-93.1754247889557,NaN]","[44.9929349440891,44.9929349440891,44.9929289440891,44.9929289440891,44.9929349440891,NaN]",15,-93.17552654,44.99296267,-93.17545154,44.99295667
16,"[-93.1754258860589,44.9929222159942;-93.1753508860589,44.9929282159942]","[-93.1754258860589,-93.1753508860589,-93.1753508860589,-93.1754258860589,-93.1754258860589,NaN]","[44.9929282159942,44.9929282159942,44.9929222159942,44.9929222159942,44.9929282159942,NaN]",16,-93.17552654,44.99295667,-93.17545154,44.99295067
17,"[-93.1754292903508,44.9929155471147;-93.1753542903508,44.9929215471147]","[-93.1754292903508,-93.1753542903508,-93.1753542903508,-93.1754292903508,-93.1754292903508,NaN]","[44.9929215471147,44.9929215471147,44.9929155471147,44.9929155471147,44.9929215471147,NaN]",17,-93.17552654,44.99295067,-93.17545154,44.99294467
18,"[-93.1754276126047,44.9929089808623;-93.1753526126047,44.9929149808623]","[-93.1754276126047,-93.1753526126047,-93.1753526126047,-93.1754276126047,-93.1754276126047,NaN]","[44.9929149808623,44.9929149808623,44.9929089808623,44.9929089808623,44.9929149808623,NaN]",18,-93.17552654,44.99294467,-93.17545154,44.99293867
19,"[-93.1754270645696,44.9929023807622;-93.1753520645696,44.9929083807622]","[-93.1754270645696,-93.1753520645696,-93.1753520645696,-93.1754270645696,-93.1754270645696,NaN]","[44.9929083807622,44.9929083807622,44.9929023807622,44.9929023807622,44.9929083807622,NaN]",19,-93.17552654,44.99293867,-93.17545154,44.99293267
20,"[-93.1754260459030,44.9928954470015;-93.1753510459030,44.9929014470015]","[-93.1754260459030,-93.1753510459030,-93.1753510459030,-93.1754260459030,-93.1754260459030,NaN]","[44.9929014470015,44.9929014470015,44.9928954470015,44.9928954470015,44.9929014470015,NaN]",20,-93.17552654,44.99293267,-93.17545154,44.99292667
21,"[-93.1754260471536,44.9928889663543;-93.1753510471536,44.9928949663543]","[-93.1754260471536,-93.1753510471536,-93.1753510471536,-93.1754260471536,-93.1754260471536,NaN]","[44.9928949663543,44.9928949663543,44.9928889663543,44.9928889663543,44.9928949663543,NaN]",21,-93.17552654,44.99292667,-93.17545154,44.99292067
22,"[-93.1754269455219,44.9928823356200;-93.1753519455219,44.9928883356200]","[-93.1754269455219,-93.1753519455219,-93.1753519455219,-93.1754269455219,-93.1754269455219,NaN]","[44.9928883356200,44.9928883356200,44.9928823356200,44.9928823356200,44.9928883356200,NaN]",22,-93.17552654,44.99292067,-93.17545154,44.99291467
23,"[-93.1754254131103,44.9928752352359;-93.1753504131103,44.9928812352359]","[-93.1754254131103,-93.1753504131103,-93.1753504131103,-93.1754254131103,-93.1754254131103,NaN]","[44.9928812352359,44.9928812352359,44.9928752352359,44.9928752352359,44.9928812352359,NaN]",23,-93.17552654,44.99291467,-93.17545154,44.99290867
24,"[-93.1754291501865,44.9928682736667;-93.1753541501865,44.9928742736667]","[-93.1754291501865,-93.1753541501865,-93.1753541501865,-93.1754291501865,-93.1754291501865,NaN]","[44.9928742736667,44.9928742736667,44.9928682736667,44.9928682736667,44.9928742736667,NaN]",24,-93.17552654,44.99290867,-93.17545154,44.99290267
25,"[-93.1754306625262,44.9928604457430;-93.1753556625262,44.9928664457430]","[-93.1754306625262,-93.1753556625262,-93.1753556625262,-93.1754306625262,-93.1754306625262,NaN]","[44.9928664457430,44.9928664457430,44.9928604457430,44.9928604457430,44.9928664457430,NaN]",25,-93.17552654,44.99290267,-93.17545154,44.99289667
26,"[-93.1754278666560,44.9928539210294;-93.1753528666560,44.9928599210294]","[-93.1754278666560,-93.1753528666560,-93.1753528666560,-93.1754278666560,-93.1754278666560,NaN]","[44.9928599210294,44.9928599210294,44.9928539210294,44.9928539210294,44.9928599210294,NaN]",26,-93.17552654,44.99289667,-93.17545154,44.99289067
27,"[-93.1754249315489,44.9928477492082;-93.1753499315489,44.9928537492082]","[-93.1754249315489,-93.1753499315489,-93.1753499315489,-93.1754249315489,-93.1754249315489,NaN]","[44.9928537492082,44.9928537492082,44.9928477492082,44.9928477492082,44.9928537492082,NaN]",27,-93.17552654,44.99289067,-93.17545154,44.99288467
28,"[-93.1754250051162,44.9928406732883;-93.1753500051162,44.9928466732883]","[-93.1754250051162,-93.1753500051162,-93.1753500051162,-93.1754250051162,-93.1754250051162,NaN]","[44.9928466732883,44.9928466732883,44.9928406732883,44.9928406732883,44.9928466732883,NaN]",28,-93.17552654,44.99288467,-93.17545154,44.99287867
29,"[-93.1754252087117,44.9928344938807;-93.1753502087117,44.9928404938807]","[-93.1754252087117,-93.1753502087117,-93.1753502087117,-93.1754252087117,-93.1754252087117,NaN]","[44.9928404938807,44.9928404938807,44.9928344938807,44.9928344938807,44.9928404938807,NaN]",29,-93.17552654,44.99287867,-93.17545154,44.99287267
30,"[-93.1754256980621,44.9928276398426;-93.1753506980622,44.9928336398426]","[-93.1754256980621,-93.1753506980622,-93.1753506980622,-93.1754256980621,-93.1754256980621,NaN]","[44.9928336398426,44.9928336398426,44.9928276398426,44.9928276398426,44.9928336398426,NaN]",30,-93.17552654,44.99287267,-93.17545154,44.99286667
31,"[-93.1754233555152,44.9928207847847;-93.1753483555152,44.9928267847847]","[-93.1754233555152,-93.1753483555152,-93.1753483555152,-93.1754233555152,-93.1754233555152,NaN]","[44.9928267847847,44.9928267847847,44.9928207847847,44.9928207847847,44.9928267847847,NaN]",31,-93.17552654,44.99286667,-93.17545154,44.99286067
32,"[-93.1754218982326,44.9928135789082;-93.1753468982326,44.9928195789082]","[-93.1754218982326,-93.1753468982326,-93.1753468982326,-93.1754218982326,-93.1754218982326,NaN]","[44.9928195789082,44.9928195789082,44.9928135789082,44.9928135789082,44.9928195789082,NaN]",32,-93.17552654,44.99286067,-93.17545154,44.99285467
33,"[-93.1754243123474,44.9928069167985;-93.1753493123474,44.9928129167985]","[-93.1754243123474,-93.1753493123474,-93.1753493123474,-93.1754243123474,-93.1754243123474,NaN]","[44.9928129167985,44.9928129167985,44.9928069167985,44.9928069167985,44.9928129167985,NaN]",33,-93.17552654,44.99285467,-93.17545154,44.99284867
34,"[-93.1754255993388,44.9927995439299;-93.1753505993388,44.9928055439299]","[-93.1754255993388,-93.1753505993388,-93.1753505993388,-93.1754255993388,-93.1754255993388,NaN]","[44.9928055439299,44.9928055439299,44.9927995439299,44.9927995439299,44.9928055439299,NaN]",34,-93.17552654,44.99284867,-93.17545154,44.99284267
35,"[-93.1754235837737,44.9927929129006;-93.1753485837737,44.9927989129006]","[-93.1754235837737,-93.1753485837737,-93.1753485837737,-93.1754235837737,-93.1754235837737,NaN]","[44.9927989129006,44.9927989129006,44.9927929129006,44.9927929129006,44.9927989129006,NaN]",35,-93.17552654,44.99284267,-93.17545154,44.99283667
36,"[-93.1754233620517,44.9927858788738;-93.1753483620517,44.9927918788738]","[-93.1754233620517,-93.1753483620517,-93.1753483620517,-93.1754233620517,-93.1754233620517,NaN]","[44.9927918788738,44.9927918788738,44.9927858788738,44.9927858788738,44.9927918788738,NaN]",36,-93.17552654,44.99283667,-93.17545154,44.99283067
37,"[-93.1754253298950,44.9927788639400;-93.1753503298950,44.9927848639400]","[-93.1754253298950,-93.1753503298950,-93.1753503298950,-93.1754253298950,-93.1754253298950,NaN]","[44.9927848639400,44.9927848639400,44.9927788639400,44.9927788639400,44.9927848639400,NaN]",37,-93.17552654,44.99283067,-93.17545154,44.99282467
38,"[-93.1754262893598,44.9927722578288;-93.1753512893598,44.9927782578288]","[-93.1754262893598,-93.1753512893598,-93.1753512893598,-93.1754262893598,-93.1754262893598,NaN]","[44.9927782578288,44.9927782578288,44.9927722578288,44.9927722578288,44.9927782578288,NaN]",38,-93.17552654,44.99282467,-93.17545154,44.99281867
39,"[-93.1754237409995,44.9927665763860;-93.1753487409995,44.9927725763860]","[-93.1754237409995,-93.1753487409995,-93.1753487409995,-93.1754237409995,-93.1754237409995,NaN]","[44.9927725763860,44.9927725763860,44.9927665763860,44.9927665763860,44.9927725763860,NaN]",39,-93.17552654,44.99281867,-93.17545154,44.99281267
40,"[-93.1754230334936,44.9927600383836;-93.1753480334936,44.9927660383836]","[-93.1754230334936,-93.1753480334936,-93.1753480334936,-93.1754230334936,-93.1754230334936,NaN]","[44.9927660383836,44.9927660383836,44.9927600383836,44.9927600383836,44.9927660383836,NaN]",40,-93.17552654,44.99281267,-93.17545154,44.99280667
41,"[-93.1754223272450,44.9927537952991;-93.1753473272450,44.9927597952991]","[-93.1754223272450,-93.1753473272450,-93.1753473272450,-93.1754223272450,-93.1754223272450,NaN]","[44.9927597952991,44.9927597952991,44.9927537952991,44.9927537952991,44.9927597952991,NaN]",41,-93.17552654,44.99280667,-93.17545154,44.99280067
42,"[-93.1754236948566,44.9927474348870;-93.1753486948566,44.9927534348870]","[-93.1754236948566,-93.1753486948566,-93.1753486948566,-93.1754236948566,-93.1754236948566,NaN]","[44.9927534348870,44.9927534348870,44.9927474348870,44.9927474348870,44.9927534348870,NaN]",42,-93.17552654,44.99280067,-93.17545154,44.99279467
43,"[-93.1754245122949,44.9927405656311;-93.1753495122949,44.9927465656311]","[-93.1754245122949,-93.1753495122949,-93.1753495122949,-93.1754245122949,-93.1754245122949,NaN]","[44.9927465656311,44.9927465656311,44.9927405656311,44.9927405656311,44.9927465656311,NaN]",43,-93.17552654,44.99279467,-93.17545154,44.99278867
44,"[-93.1754229808158,44.9927334451035;-93.1753479808158,44.9927394451035]","[-93.1754229808158,-93.1753479808158,-93.1753479808158,-93.1754229808158,-93.1754229808158,NaN]","[44.9927394451035,44.9927394451035,44.9927334451035,44.9927334451035,44.9927394451035,NaN]",44,-93.17552654,44.99278867,-93.17545154,44.99278267
45,"[-93.1754252986489,44.9927256478784;-93.1753502986489,44.9927316478784]","[-93.1754252986489,-93.1753502986489,-93.1753502986489,-93.1754252986489,-93.1754252986489,NaN]","[44.9927316478784,44.9927316478784,44.9927256478784,44.9927256478784,44.9927316478784,NaN]",45,-93.17552654,44.99278267,-93.17545154,44.99277667
46,"[-93.1754248536571,44.9927196128030;-93.1753498536571,44.9927256128030]","[-93.1754248536571,-93.1753498536571,-93.1753498536571,-93.1754248536571,-93.1754248536571,NaN]","[44.9927256128030,44.9927256128030,44.9927196128030,44.9927196128030,44.9927256128030,NaN]",46,-93.17552654,44.99277667,-93.17545154,44.99277067
47,"[-93.1754232208394,44.9927132769478;-93.1753482208394,44.9927192769478]","[-93.1754232208394,-93.1753482208394,-93.1753482208394,-93.1754232208394,-93.1754232208394,NaN]","[44.9927192769478,44.9927192769478,44.9927132769478,44.9927132769478,44.9927192769478,NaN]",47,-93.17552654,44.99277067,-93.17545154,44.99276467
48,"[-93.1754244345458,44.9927063027654;-93.1753494345458,44.9927123027654]","[-93.1754244345458,-93.1753494345458,-93.1753494345458,-93.1754244345458,-93.1754244345458,NaN]","[44.9927123027654,44.9927123027654,44.9927063027654,44.9927063027654,44.9927123027654,NaN]",48,-93.17552654,44.99276467,-93.17545154,44.99275867
49,"[-93.1753530207930,44.9930240340001;-93.1752780207930,44.9930300340001]","[-93.1753530207930,-93.1752780207930,-93.1752780207930,-93.1753530207930,-93.1753530207930,NaN]","[44.9930300340001,44.9930300340001,44.9930240340001,44.9930240340001,44.9930300340001,NaN]",64,-93.17545154,44.99304667,-93.17537654,44.99304067
50,"[-93.1753528682039,44.9930162999599;-93.1752778682040,44.9930222999599]","[-93.1753528682039,-93.1752778682040,-93.1752778682040,-93.1753528682039,-93.1753528682039,NaN]","[44.9930222999599,44.9930222999599,44.9930162999599,44.9930162999599,44.9930222999599,NaN]",65,-93.17545154,44.99304067,-93.17537654,44.99303467
