"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2018-01-01","-8.0","-18.0","0.00","0.00","4.00"
"2018-01-02","0.0","-15.0","0.00","0.00","4.00"
"2018-01-03","12.0","-11.0","0.01","0.30","4.00"
"2018-01-04","4.0","-8.0","0.00","0.00","4.00"
"2018-01-05","4.0","-11.0","0.00","0.00","4.00"
"2018-01-06","1.0","-13.0","0.00","0.00","4.00"
"2018-01-07","13.0","-12.0","0.00","0.00","4.00"
"2018-01-08","30.0","13.0","0.00","0.00","4.00"
"2018-01-09","35.0","24.0","0.00","0.00","4.00"
"2018-01-10","41.0","29.0","0.00","0.00","2.00"
"2018-01-11","36.0","17.0","0.02","0.40","2.00"
"2018-01-12","17.0","-11.0","0.06","2.30","4.00"
"2018-01-13","2.0","-13.0","0.00","0.00","4.00"
"2018-01-14","3.0","-13.0","0.00","0.00","4.00"
"2018-01-15","14.0","-7.0","0.08","2.80","6.00"
"2018-01-16","4.0","-4.0","T","T","5.00"
"2018-01-17","6.0","-3.0","0.00","0.00","4.00"
"2018-01-18","25.0","2.0","0.00","0.00","4.00"
"2018-01-19","40.0","22.0","0.00","0.00","4.00"
"2018-01-20","41.0","26.0","0.00","0.00","4.00"
"2018-01-21","40.0","27.0","0.00","0.00","3.00"
"2018-01-22","36.0","30.0","0.00","0.00","3.00"
"2018-01-23","30.0","17.0","0.80","9.00","12.00"
"2018-01-24","26.0","10.0","0.00","0.00","10.00"
"2018-01-25","24.0","15.0","0.00","0.00","10.00"
"2018-01-26","34.0","22.0","0.00","0.00","9.00"
"2018-01-27","45.0","23.0","0.00","0.00","7.00"
"2018-01-28","30.0","15.0","T","T","5.00"
"2018-01-29","18.0","2.0","T","T","5.00"
"2018-01-30","13.0","0.0","0.00","0.00","5.00"
"2018-01-31","30.0","0.0","0.10","1.60","7.00"
"2018-02-01","27.0","-5.0","0.01","0.40","7.00"
"2018-02-02","4.0","-9.0","0.00","0.00","7.00"
"2018-02-03","12.0","-8.0","0.00","0.00","7.00"
"2018-02-04","15.0","-5.0","0.13","2.70","9.00"
"2018-02-05","1.0","-8.0","0.00","0.00","8.00"
"2018-02-06","11.0","-9.0","T","T","8.00"
"2018-02-07","8.0","-8.0","0.05","0.90","9.00"
"2018-02-08","13.0","0.0","0.00","0.00","9.00"
"2018-02-09","12.0","0.0","0.00","0.00","8.00"
"2018-02-10","8.0","-1.0","0.00","0.00","8.00"
"2018-02-11","13.0","-3.0","0.00","0.00","8.00"
"2018-02-12","19.0","-3.0","0.00","0.00","8.00"
"2018-02-13","10.0","-3.0","0.00","0.00","8.00"
"2018-02-14","29.0","9.0","0.00","0.00","8.00"
"2018-02-15","40.0","16.0","0.00","0.00","8.00"
"2018-02-16","35.0","-2.0","0.00","0.00","8.00"
"2018-02-17","23.0","-2.0","0.00","0.00","8.00"
"2018-02-18","34.0","13.0","0.00","0.00","8.00"
"2018-02-19","43.0","18.0","T","T","8.00"
"2018-02-20","20.0","17.0","0.12","0.80","8.00"
"2018-02-21","18.0","2.0","0.00","0.00","7.00"
"2018-02-22","18.0","1.0","0.00","0.00","7.00"
"2018-02-23","28.0","8.0","0.42","5.50","13.00"
"2018-02-24","30.0","1.0","0.00","0.00","13.00"
"2018-02-25","27.0","3.0","0.51","6.00","16.00"
"2018-02-26","28.0","14.0","0.00","0.00","15.00"
"2018-02-27","43.0","17.0","0.00","0.00","14.00"
"2018-02-28","43.0","19.0","0.00","0.00","13.00"
"2018-03-01","45.0","21.0","0.00","0.00","12.00"
"2018-03-02","39.0","13.0","0.00","0.00","12.00"
"2018-03-03","38.0","15.0","0.00","0.00","11.00"
"2018-03-04","43.0","33.0","0.00","0.00","10.00"
"2018-03-05","39.0","31.0","0.18","T","9.00"
"2018-03-06","34.0","25.0","0.41","3.80","12.00"
"2018-03-07","32.0","13.0","0.02","0.20","12.00"
"2018-03-08","26.0","10.0","0.00","0.00","11.00"
"2018-03-09","27.0","9.0","0.00","0.00","11.00"
"2018-03-10","35.0","12.0","0.00","0.00","11.00"
"2018-03-11","32.0","24.0","0.01","0.20","11.00"
"2018-03-12","34.0","20.0","0.00","0.00","11.00"
"2018-03-13","38.0","20.0","0.00","0.00","10.00"
"2018-03-14","34.0","21.0","0.00","0.00","10.00"
"2018-03-15","43.0","23.0","0.00","0.00","9.00"
"2018-03-16","34.0","19.0","0.00","0.00","9.00"
"2018-03-17","36.0","19.0","0.00","0.00","8.00"
"2018-03-18","48.0","20.0","0.00","0.00","7.00"
"2018-03-19","39.0","26.0","0.00","0.00","6.00"
"2018-03-20","41.0","25.0","0.01","0.10","6.00"
"2018-03-21","28.0","20.0","0.07","0.50","6.00"
"2018-03-22","37.0","21.0","0.00","0.00","5.00"
"2018-03-23","40.0","26.0","0.00","0.00","4.00"
"2018-03-24","38.0","26.0","0.00","0.00","4.00"
"2018-03-25","37.0","26.0","0.00","0.00","4.00"
"2018-03-26","40.0","26.0","0.06","1.10","5.00"
"2018-03-27","34.0","29.0","0.29","0.10","4.00"
"2018-03-28","46.0","29.0","0.00","0.00","2.00"
"2018-03-29","49.0","21.0","0.00","0.00","1.00"
"2018-03-30","37.0","21.0","0.00","0.00","T"
"2018-03-31","37.0","23.0","0.33","3.20","M"
"2018-04-01","23.0","9.0","0.00","M","M"
"2018-04-02","27.0","9.0","0.00","0.00","1.00"
"2018-04-03","32.0","20.0","0.23","4.40","6.00"
"2018-04-04","28.0","7.0","0.27","4.50","10.00"
"2018-04-05","28.0","8.0","0.00","0.00","7.00"
"2018-04-06","38.0","13.0","0.00","0.00","4.00"
"2018-04-07","19.0","11.0","0.00","0.00","4.00"
"2018-04-08","28.0","11.0","0.00","0.00","4.00"
"2018-04-09","30.0","15.0","0.14","1.40","5.00"
"2018-04-10","34.0","21.0","0.00","0.00","3.00"
"2018-04-11","39.0","27.0","T","T","2.00"
"2018-04-12","45.0","29.0","0.02","0.00","1.00"
"2018-04-13","45.0","33.0","0.00","0.00","T"
"2018-04-14","38.0","26.0","0.40","1.20","M"
