"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2020-01-01","21.0","10.0","0.00","0.00","7.00"
"2020-01-02","34.0","16.0","0.00","0.00","7.00"
"2020-01-03","34.0","29.0","T","0.00","6.00"
"2020-01-04","32.0","21.0","0.00","0.00","6.00"
"2020-01-05","29.0","22.0","T","0.00","6.00"
"2020-01-06","35.0","21.0","0.00","0.00","6.00"
"2020-01-07","35.0","21.0","0.00","0.00","5.00"
"2020-01-08","25.0","-3.0","0.00","0.00","5.00"
"2020-01-09","23.0","-4.0","0.00","0.00","5.00"
"2020-01-10","35.0","18.0","0.00","0.00","5.00"
"2020-01-11","18.0","-4.0","0.00","0.00","5.00"
"2020-01-12","13.0","-4.0","T","T","5.00"
"2020-01-13","18.0","6.0","0.09","1.20","6.00"
"2020-01-14","30.0","12.0","0.11","1.40","7.00"
"2020-01-15","30.0","13.0","T","0.00","6.00"
"2020-01-16","20.0","-11.0","T","0.20","6.00"
"2020-01-17","5.0","-12.0","0.00","0.00","6.00"
"2020-01-18","24.0","5.0","0.44","4.50","9.00"
"2020-01-19","24.0","-2.0","T","T","9.00"
"2020-01-20","9.0","2.0","0.03","0.70","9.00"
"2020-01-21","17.0","-2.0","0.00","0.00","9.00"
"2020-01-22","30.0","-1.0","0.00","0.00","9.00"
"2020-01-23","35.0","28.0","0.09","1.00","9.00"
"2020-01-24","31.0","27.0","0.03","0.50","10.00"
"2020-01-25","30.0","27.0","T","T","9.00"
"2020-01-26","31.0","23.0","0.01","0.10","9.00"
"2020-01-27","27.0","21.0","T","T","8.00"
"2020-01-28","25.0","16.0","T","T","8.00"
"2020-01-29","16.0","14.0","T","T","8.00"
"2020-01-30","21.0","15.0","T","T","8.00"
"2020-01-31","26.0","17.0","0.01","0.20","8.00"
"2020-02-01","31.0","26.0","0.02","0.40","9.00"
"2020-02-02","45.0","24.0","0.00","0.00","8.00"
"2020-02-03","42.0","27.0","0.00","0.00","8.00"
"2020-02-04","30.0","7.0","0.00","0.00","8.00"
"2020-02-05","21.0","6.0","0.00","0.00","8.00"
"2020-02-06","28.0","10.0","0.00","0.00","8.00"
"2020-02-07","30.0","9.0","0.01","0.20","8.00"
"2020-02-08","27.0","-2.0","0.00","0.00","8.00"
"2020-02-09","19.0","-3.0","0.22","3.00","10.00"
"2020-02-10","23.0","4.0","0.12","1.80","11.00"
"2020-02-11","29.0","6.0","T","T","11.00"
"2020-02-12","30.0","20.0","0.00","0.00","11.00"
"2020-02-13","32.0","-14.0","T","T","10.00"
"2020-02-14","-2.0","-14.0","0.00","0.00","10.00"
"2020-02-15","20.0","-12.0","0.00","0.00","10.00"
"2020-02-16","34.0","11.0","0.00","0.00","10.00"
"2020-02-17","23.0","11.0","0.00","0.00","9.00"
"2020-02-18","34.0","17.0","0.16","2.00","11.00"
"2020-02-19","19.0","-2.0","0.00","0.00","10.00"
"2020-02-20","10.0","-11.0","0.00","0.00","10.00"
"2020-02-21","19.0","-8.0","0.00","0.00","10.00"
"2020-02-22","35.0","16.0","0.00","0.00","10.00"
"2020-02-23","42.0","17.0","0.00","0.00","10.00"
"2020-02-24","42.0","20.0","0.00","0.00","9.00"
"2020-02-25","40.0","21.0","0.00","0.00","9.00"
"2020-02-26","35.0","15.0","0.00","0.00","9.00"
"2020-02-27","27.0","12.0","T","0.10","7.00"
"2020-02-28","22.0","12.0","0.00","0.00","7.00"
"2020-02-29","24.0","12.0","0.00","0.00","7.00"
"2020-03-01","36.0","24.0","0.00","0.00","7.00"
"2020-03-02","45.0","28.0","0.00","0.00","6.00"
"2020-03-03","34.0","27.0","T","T","6.00"
"2020-03-04","39.0","22.0","0.00","0.00","4.00"
"2020-03-05","41.0","22.0","T","0.00","3.00"
"2020-03-06","37.0","21.0","0.02","0.00","2.00"
"2020-03-07","37.0","21.0","0.00","0.00","1.00"
"2020-03-08","51.0","33.0","0.00","0.00","T"
"2020-03-09","57.0","31.0","0.00","0.00","0.00"
"2020-03-10","40.0","23.0","0.00","0.00","0.00"
"2020-03-11","40.0","23.0","0.01","0.10","T"
"2020-03-12","40.0","32.0","0.02","0.00","0.00"
"2020-03-13","40.0","25.0","0.18","0.00","0.00"
"2020-03-14","35.0","20.0","0.00","0.00","0.00"
"2020-03-15","22.0","19.0","0.00","0.00","0.00"
"2020-03-16","38.0","19.0","T","0.00","0.00"
"2020-03-17","37.0","26.0","0.06","0.50","0.00"
"2020-03-18","43.0","24.0","0.00","0.00","0.00"
"2020-03-19","43.0","36.0","0.03","0.00","0.00"
"2020-03-20","38.0","19.0","0.45","0.00","0.00"
"2020-03-21","32.0","18.0","0.00","0.00","0.00"
"2020-03-22","35.0","19.0","T","T","T"
"2020-03-23","42.0","30.0","0.11","0.90","1.00"
"2020-03-24","44.0","32.0","T","0.00","0.00"
"2020-03-25","48.0","37.0","T","T","0.00"
"2020-03-26","44.0","29.0","0.28","0.00","0.00"
"2020-03-27","50.0","30.0","0.00","0.00","0.00"
"2020-03-28","58.0","38.0","0.03","0.00","0.00"
"2020-03-29","45.0","32.0","1.56","0.00","0.00"
