"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2019-01-01","29.0","-2.0","0.01","0.30","1.00"
"2019-01-02","9.0","-3.0","0.00","0.00","1.00"
"2019-01-03","25.0","9.0","0.00","0.00","1.00"
"2019-01-04","41.0","22.0","0.00","0.00","T"
"2019-01-05","47.0","28.0","0.00","0.00","T"
"2019-01-06","44.0","24.0","0.00","0.00","T"
"2019-01-07","40.0","26.0","0.00","0.00","0.00"
"2019-01-08","41.0","30.0","0.00","0.00","0.00"
"2019-01-09","30.0","5.0","0.00","0.00","0.00"
"2019-01-10","14.0","5.0","0.00","0.00","0.00"
"2019-01-11","24.0","11.0","0.00","0.00","0.00"
"2019-01-12","33.0","18.0","0.00","0.00","0.00"
"2019-01-13","30.0","19.0","0.00","0.00","0.00"
"2019-01-14","35.0","28.0","0.00","0.00","0.00"
"2019-01-15","31.0","26.0","T","0.00","0.00"
"2019-01-16","32.0","6.0","T","0.00","0.00"
"2019-01-17","23.0","6.0","T","0.10","T"
"2019-01-18","23.0","7.0","0.00","0.00","0.00"
"2019-01-19","8.0","-3.0","0.00","0.00","0.00"
"2019-01-20","10.0","-7.0","0.00","0.00","0.00"
"2019-01-21","11.0","-7.0","0.00","0.00","0.00"
"2019-01-22","17.0","1.0","0.01","0.40","T"
"2019-01-23","20.0","8.0","T","0.20","T"
"2019-01-24","24.0","8.0","0.02","1.00","1.00"
"2019-01-25","9.0","-9.0","0.00","0.00","1.00"
"2019-01-26","5.0","-9.0","0.00","0.00","1.00"
"2019-01-27","10.0","-12.0","0.01","0.30","1.00"
"2019-01-28","4.0","-14.0","0.31","3.80","4.00"
"2019-01-29","13.0","-10.0","T","T","4.00"
"2019-01-30","-7.0","-29.0","T","T","4.00"
"2019-01-31","-13.0","-29.0","0.00","0.00","4.00"
"2019-02-01","3.0","-25.0","0.01","0.10","3.00"
"2019-02-02","18.0","3.0","0.00","0.00","3.00"
"2019-02-03","40.0","16.0","T","0.00","2.00"
"2019-02-04","36.0","27.0","0.10","0.00","1.00"
"2019-02-05","27.0","0.0","T","0.10","1.00"
"2019-02-06","12.0","2.0","0.21","3.60","4.00"
"2019-02-07","20.0","12.0","0.17","2.00","6.00"
"2019-02-08","19.0","-12.0","0.33","6.30","9.00"
"2019-02-09","-2.0","-16.0","0.00","0.00","8.00"
"2019-02-10","7.0","-15.0","0.00","0.00","8.00"
"2019-02-11","16.0","7.0","0.14","4.00","10.00"
