Plot,Stand
YC19:1355,23
YC19:1356,18
YC19:1357,22
YC19:1358,24
YC19:1359,20
YC19:1360,15
YC19:1361,22
YC19:1362,16
YC19:1363,22
YC19:1364,17
YC19:1365,20
YC19:1366,21
YC19:1367,20
YC19:1368,16
YC19:1369,19
YC19:1370,18
YC19:1371,19
YC19:1372,18
YC19:1373,16
YC19:1374,11
YC19:1375,22
YC19:1376,18
YC19:1377,23
YC19:1378,10
YC19:1379,25
YC19:1380,14
YC19:1381,18
YC19:1382,21
YC19:1383,14
YC19:1384,18
YC19:1385,13
YC19:1386,19
YC19:1387,18
YC19:1388,24
YC19:1389,17
YC19:1390,22
YC19:1391,24
YC19:1392,17
YC19:1393,20
YC19:1394,15
YC19:1395,21
YC19:1396,18
YC19:1397,23
YC19:1398,19
YC19:1399,18
YC19:1400,27
YC19:1401,20
YC19:1402,17
YC19:1403,25
YC19:1404,21
YC19:1405,22
YC19:1406,19
YC19:1407,25
YC19:1408,19
YC19:1409,24
YC19:1410,24
YC19:1411,0
YC19:1412,21
YC19:1413,24
YC19:1414,23
YC19:1415,21
YC19:1416,18
YC19:1417,19
YC19:1418,18
YC19:1419,23
YC19:1420,19
YC19:1421,20
YC19:1422,8
YC19:1423,19
YC19:1424,20
YC19:1425,24
YC19:1426,20
YC19:1427,23
YC19:1428,20
YC19:1429,26
YC19:1430,20
YC19:1431,22
YC19:1432,6
YC19:1433,16
YC19:1434,13
YC19:1435,19
YC19:1436,24
YC19:1437,21
YC19:1438,23
YC19:1439,24
YC19:1440,21
YC19:1441,20
YC19:1442,16
YC19:1443,18
YC19:1444,20
YC19:1445,12
YC19:1446,21
YC19:1447,24
YC19:1448,20
YC19:1449,18
YC19:1450,22
YC19:1451,20
YC19:1452,27
YC19:1453,22
YC19:1454,24
YC19:1455,14
YC19:1456,22
YC19:1457,20
YC19:1458,18
YC19:1459,21
YC19:1460,25
YC19:1461,19
YC19:1462,25
YC19:1463,23
YC19:1464,22
YC19:1465,21
YC19:1466,19
YC19:1467,24
YC19:1468,21
YC19:1469,19
YC19:1470,24
YC19:1471,20
YC19:1472,25
YC19:1473,21
YC19:1474,25
YC19:1475,24
YC19:1476,14
YC19:1477,16
YC19:1478,20
YC19:1479,20
YC19:1480,20
YC19:1481,17
YC19:1482,20
YC19:1483,21
YC19:1484,22
YC19:1485,22
YC19:1486,22
YC19:1487,21
YC19:1488,23
YC19:1489,25
YC19:1490,21
YC19:1491,16
YC19:1492,20
YC19:1493,24
YC19:1494,22
YC19:1495,18
YC19:1496,20
YC19:1497,20
YC19:1498,19
YC19:1499,21
YC19:1500,20
YC19:1501,14
YC19:1502,24
YC19:1503,16
YC19:1504,24
YC19:1505,12
YC19:1506,19
YC19:1507,18
YC19:1508,21
YC19:1509,17
YC19:1510,20
YC19:1511,21
YC19:1512,22
YC19:1513,21
YC19:1514,20
YC19:1515,23
YC19:1516,24
YC19:1517,23
YC19:1518,16
YC19:1519,20
YC19:1520,24
YC19:2001,14
YC19:2002,0
YC19:2003,18
YC19:2004,20
YC19:2005,10
YC19:2006,18
YC19:2007,14
YC19:2008,9
YC19:2009,20
YC19:2010,17
YC19:2011,17
YC19:2012,16
YC19:2013,19
YC19:2014,14
YC19:2015,22
YC19:2016,17
YC19:2017,17
YC19:2018,22
YC19:2019,10
YC19:2020,18
YC19:2021,17
YC19:2022,17
YC19:2023,12
YC19:2024,21
YC19:2025,18
YC19:2026,18
YC19:2027,20
YC19:2028,17
YC19:2029,19
YC19:2030,18
YC19:2031,27
YC19:2032,25
YC19:2033,19
YC19:2034,24
YC19:2035,23
YC19:2036,24
YC19:2037,23
YC19:2038,18
YC19:2039,21
YC19:2040,25
YC19:2041,19
YC19:2042,23
YC19:2043,22
YC19:2044,19
YC19:2045,22
YC19:2046,21
YC19:2047,17
YC19:2048,22
YC19:2049,23
YC19:2050,21
YC19:2051,19
YC19:2052,21
YC19:2053,19
YC19:2054,21
YC19:2055,24
YC19:2056,22
YC19:2057,22
YC19:2058,19
YC19:2059,24
YC19:2060,22
YC19:2061,19
YC19:2062,20
YC19:2063,16
YC19:2064,19
YC19:2065,22
YC19:2066,17
YC19:2067,19
YC19:2068,22
YC19:2069,16
YC19:2070,23
YC19:2071,19
YC19:2072,21
YC19:2073,22
YC19:2074,20
YC19:2075,16
YC19:2076,22
YC19:2077,25
YC19:2078,16
YC19:2079,19
