Fields,BoundingBox,X,Y,left,top,right,bottom,id
1,"[-93.1745276756494,44.9930321300182;-93.1744496756494,44.9930391300182]","[-93.1745276756494,-93.1744496756494,-93.1744496756494,-93.1745276756494,-93.1745276756494,NaN]","[44.9930391300182,44.9930391300182,44.9930321300182,44.9930321300182,44.9930391300182,NaN]",1,-93.17460394,44.99306536,-93.17452594,44.99305836
2,"[-93.1745280163395,44.9930251300182;-93.1744500163395,44.9930321300182]","[-93.1745280163395,-93.1744500163395,-93.1744500163395,-93.1745280163395,-93.1745280163395,NaN]","[44.9930321300182,44.9930321300182,44.9930251300182,44.9930251300182,44.9930321300182,NaN]",2,-93.17460394,44.99305836,-93.17452594,44.99305136
3,"[-93.1745273349594,44.9930180164549;-93.1744493349594,44.9930250164549]","[-93.1745273349594,-93.1744493349594,-93.1744493349594,-93.1745273349594,-93.1745273349594,NaN]","[44.9930250164549,44.9930250164549,44.9930180164549,44.9930180164549,44.9930250164549,NaN]",3,-93.17460394,44.99305136,-93.17452594,44.99304436
4,"[-93.1745248365658,44.9930112435816;-93.1744468365658,44.9930182435816]","[-93.1745248365658,-93.1744468365658,-93.1744468365658,-93.1745248365658,-93.1745248365658,NaN]","[44.9930182435816,44.9930182435816,44.9930112435816,44.9930112435816,44.9930182435816,NaN]",4,-93.17460394,44.99304436,-93.17452594,44.99303736
5,"[-93.1745257450726,44.9930044707083;-93.1744477450726,44.9930114707083]","[-93.1745257450726,-93.1744477450726,-93.1744477450726,-93.1745257450726,-93.1745257450726,NaN]","[44.9930114707083,44.9930114707083,44.9930044707083,44.9930044707083,44.9930114707083,NaN]",5,-93.17460394,44.99303736,-93.17452594,44.99303036
6,"[-93.1745257450725,44.9929978113983;-93.1744477450725,44.9930048113983]","[-93.1745257450725,-93.1744477450725,-93.1744477450725,-93.1745257450725,-93.1745257450725,NaN]","[44.9930048113983,44.9930048113983,44.9929978113983,44.9929978113983,44.9930048113983,NaN]",6,-93.17460394,44.99303036,-93.17452594,44.99302336
7,"[-93.1745258586359,44.9929908113983;-93.1744478586359,44.9929978113983]","[-93.1745258586359,-93.1744478586359,-93.1744478586359,-93.1745258586359,-93.1745258586359,NaN]","[44.9929978113983,44.9929978113983,44.9929908113983,44.9929908113983,44.9929978113983,NaN]",7,-93.17460394,44.99302336,-93.17452594,44.99301636
8,"[-93.1745259721993,44.9929843792150;-93.1744479721993,44.9929913792150]","[-93.1745259721993,-93.1744479721993,-93.1744479721993,-93.1745259721993,-93.1745259721993,NaN]","[44.9929913792150,44.9929913792150,44.9929843792150,44.9929843792150,44.9929913792150,NaN]",8,-93.17460394,44.99301636,-93.17452594,44.99300936
9,"[-93.1745265400160,44.9929780605951;-93.1744485400160,44.9929850605951]","[-93.1745265400160,-93.1744485400160,-93.1744485400160,-93.1745265400160,-93.1745265400160,NaN]","[44.9929850605951,44.9929850605951,44.9929780605951,44.9929780605951,44.9929850605951,NaN]",9,-93.17460394,44.99300936,-93.17452594,44.99300236
10,"[-93.1745264264526,44.9929708334684;-93.1744484264526,44.9929778334684]","[-93.1745264264526,-93.1744484264526,-93.1744484264526,-93.1745264264526,-93.1745264264526,NaN]","[44.9929778334684,44.9929778334684,44.9929708334684,44.9929708334684,44.9929778334684,NaN]",10,-93.17460394,44.99300236,-93.17452594,44.99299536
11,"[-93.1745258586359,44.9929640605951;-93.1744478586359,44.9929710605951]","[-93.1745258586359,-93.1744478586359,-93.1744478586359,-93.1745258586359,-93.1745258586359,NaN]","[44.9929710605951,44.9929710605951,44.9929640605951,44.9929640605951,44.9929710605951,NaN]",11,-93.17460394,44.99299536,-93.17452594,44.99298836
12,"[-93.1745250636925,44.9929572877218;-93.1744470636925,44.9929642877218]","[-93.1745250636925,-93.1744470636925,-93.1744470636925,-93.1745250636925,-93.1745250636925,NaN]","[44.9929642877218,44.9929642877218,44.9929572877218,44.9929572877218,44.9929642877218,NaN]",12,-93.17460394,44.99298836,-93.17452594,44.99298136
13,"[-93.1745274485228,44.9929505148485;-93.1744494485228,44.9929575148485]","[-93.1745274485228,-93.1744494485228,-93.1744494485228,-93.1745274485228,-93.1745274485228,NaN]","[44.9929575148485,44.9929575148485,44.9929505148485,44.9929505148485,44.9929575148485,NaN]",13,-93.17460394,44.99298136,-93.17452594,44.99297436
14,"[-93.1745285841562,44.9929435148485;-93.1744505841562,44.9929505148485]","[-93.1745285841562,-93.1744505841562,-93.1744505841562,-93.1745285841562,-93.1745285841562,NaN]","[44.9929505148485,44.9929505148485,44.9929435148485,44.9929435148485,44.9929505148485,NaN]",14,-93.17460394,44.99297436,-93.17452594,44.99296736
15,"[-93.1745269942694,44.9929368555385;-93.1744489942694,44.9929438555385]","[-93.1745269942694,-93.1744489942694,-93.1744489942694,-93.1745269942694,-93.1745269942694,NaN]","[44.9929438555385,44.9929438555385,44.9929368555385,44.9929368555385,44.9929438555385,NaN]",15,-93.17460394,44.99296736,-93.17452594,44.99296036
