Plot,Weeds
YC18:1001,No
YC18:1002,No
YC18:1003,No
YC18:1004,No
YC18:1005,No
YC18:1006,No
YC18:1007,No
YC18:1008,No
YC18:1009,No
YC18:1010,No
YC18:1011,No
YC18:1012,No
YC18:1013,No
YC18:1014,No
YC18:1015,No
YC18:1016,No
YC18:1017,Yes
YC18:1018,Yes
YC18:1019,Yes
YC18:1020,Yes
YC18:1021,Yes
YC18:1022,Yes
YC18:1023,Yes
YC18:1024,Yes
YC18:1025,No
YC18:1026,No
YC18:1027,No
YC18:1028,No
YC18:1029,No
YC18:1030,No
YC18:1031,No
YC18:1032,No
YC18:1033,No
YC18:1034,No
YC18:1035,No
YC18:1036,No
YC18:1037,No
YC18:1038,No
YC18:1039,Yes
YC18:1040,Yes
YC18:1041,Yes
YC18:1042,Yes
YC18:1043,Yes
YC18:1044,Yes
YC18:1045,Yes
YC18:1046,No
YC18:1047,No
YC18:1048,No
YC18:1049,Yes
YC18:1050,Yes
YC18:1051,Yes
YC18:1052,Yes
YC18:1053,Yes
YC18:1054,Yes
YC18:1055,Yes
YC18:1056,Yes
YC18:1057,Yes
YC18:1058,Yes
YC18:1059,No
YC18:1060,No
YC18:1061,No
YC18:1062,No
YC18:1063,No
YC18:1064,No
YC18:1065,No
YC18:1066,No
YC18:1067,No
YC18:1068,No
YC18:1069,No
YC18:1070,No
YC18:1071,No
YC18:1072,No
YC18:1073,Yes
YC18:1074,Yes
YC18:1075,Yes
YC18:1076,Yes
YC18:1077,Yes
YC18:1078,Yes
YC18:1079,Yes
YC18:1080,Yes
YC18:1081,No
YC18:1082,No
YC18:1083,No
YC18:1084,No
YC18:1085,No
YC18:1086,No
YC18:1087,No
YC18:1088,No
YC18:1089,No
YC18:1090,No
YC18:1091,No
YC18:1092,No
YC18:1093,No
YC18:1094,No
YC18:1095,No
YC18:1096,No
YC18:1097,No
YC18:1098,No
YC18:1099,No
YC18:1100,No
YC18:1101,No
YC18:1102,No
YC18:1103,No
YC18:1104,No
YC18:1105,No
YC18:1106,No
YC18:1107,No
YC18:1108,No
YC18:1109,No
YC18:1110,No
YC18:1111,No
YC18:1112,Yes
YC18:1113,Yes
YC18:1114,Yes
YC18:1115,Yes
YC18:1116,Yes
YC18:1117,No
YC18:1118,No
YC18:1119,Yes
YC18:1120,Yes
YC18:1121,Yes
YC18:1122,No
YC18:1123,No
YC18:1124,No
YC18:1125,No
YC18:1126,No
YC18:1127,No
YC18:1128,No
YC18:1129,No
YC18:1130,No
YC18:1131,No
YC18:1132,No
YC18:1133,No
YC18:1134,No
YC18:1135,No
YC18:1136,No
YC18:1137,Yes
YC18:1138,Yes
YC18:1139,Yes
YC18:1140,Yes
YC18:1141,Yes
YC18:1142,Yes
YC18:1143,Yes
YC18:1144,Yes
YC18:1145,No
YC18:1146,No
YC18:1147,Yes
YC18:1148,Yes
YC18:1149,Yes
YC18:1150,Yes
YC18:1151,Yes
YC18:1152,Yes
YC18:1153,Yes
YC18:1154,Yes
YC18:1155,No
YC18:1156,No
YC18:1157,No
YC18:1158,No
YC18:1159,No
YC18:1160,No
YC18:1161,No
YC18:1162,No
YC18:1163,No
YC18:1164,No
YC18:1165,No
YC18:1166,Yes
YC18:1167,No
YC18:1168,Yes
YC18:1169,Yes
YC18:1170,Yes
YC18:1171,No
YC18:1172,No
YC18:1173,Yes
YC18:1174,Yes
YC18:1175,Yes
YC18:1176,Yes
YC18:1177,No
YC18:1178,No
YC18:1179,No
YC18:1180,No
YC18:1181,No
YC18:1182,No
YC18:1183,No
YC18:1184,No
YC18:1185,No
YC18:1186,No
YC18:1187,No
YC18:1188,No
YC18:1189,No
YC18:1190,No
YC18:1191,No
YC18:1192,No
YC18:1193,No
YC18:1194,No
YC18:1195,No
YC18:1196,No
YC18:1197,No
YC18:1198,No
YC18:1199,No
YC18:1200,No
YC18:1201,No
YC18:1202,No
YC18:1203,No
YC18:1204,No
YC18:1205,No
YC18:1206,Yes
YC18:1207,No
YC18:1208,No
YC18:1209,No
YC18:1210,Yes
YC18:1211,Yes
YC18:1212,Yes
YC18:1213,No
YC18:1214,No
YC18:1215,Yes
YC18:1216,Yes
YC18:1217,Yes
YC18:1218,Yes
YC18:1219,Yes
YC18:1220,No
YC18:1221,No
YC18:1222,No
YC18:1223,No
YC18:1224,No
YC18:1225,No
YC18:1226,No
YC18:1227,No
YC18:1228,No
YC18:1229,No
YC18:1230,No
YC18:1231,No
YC18:1232,No
YC18:1233,Yes
YC18:1234,Yes
YC18:1235,Yes
YC18:1236,Yes
YC18:1237,Yes
YC18:1238,Yes
YC18:1239,No
YC18:1240,No
YC18:1241,No
YC18:1242,No
YC18:1243,No
YC18:1244,No
YC18:1245,Yes
YC18:1246,Yes
YC18:1247,Yes
YC18:1248,No
YC18:1249,No
YC18:1250,No
YC18:1251,No
YC18:1252,No
YC18:1253,No
YC18:1254,No
YC18:1255,No
YC18:1256,No
YC18:1257,No
YC18:1258,No
YC18:1259,No
YC18:1260,No
YC18:1261,No
YC18:1262,No
YC18:1263,No
YC18:1264,No
YC18:1265,No
YC18:1266,Yes
YC18:1267,No
YC18:1268,No
YC18:1269,Yes
YC18:1270,Yes
YC18:1271,Yes
YC18:1272,No
YC18:1273,No
YC18:1274,No
YC18:1275,No
YC18:1276,No
YC18:1277,No
YC18:1278,No
YC18:1279,No
YC18:1280,No
YC18:1281,No
YC18:1282,No
YC18:1283,No
YC18:1284,No
YC18:1285,No
YC18:1286,No
YC18:1287,No
YC18:1288,No
YC18:1289,No
YC18:1290,No
YC18:1291,No
YC18:1292,No
YC18:1293,No
YC18:1294,No
YC18:1295,No
YC18:1296,No
YC18:1297,No
YC18:1298,No
YC18:1299,No
YC18:1300,No
YC18:1301,No
YC18:1302,No
YC18:1303,No
YC18:1304,No
YC18:1305,No
YC18:1306,No
YC18:1307,No
YC18:1308,No
YC18:1309,No
YC18:1310,Yes
YC18:1311,Yes
YC18:1312,Yes
YC18:1313,Yes
YC18:1314,No
YC18:1315,No
YC18:1316,No
YC18:1317,No
YC18:1318,No
YC18:1319,No
YC18:1320,No
